Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1976M01,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M02,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M03,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M04,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M05,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M06,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M07,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M08,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M09,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M10,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M11,Heifers 250-299kg,Euro,
Cattle Price per Head,1976M12,Heifers 250-299kg,Euro,
Cattle Price per Head,1977M01,Heifers 250-299kg,Euro,
Cattle Price per Head,1977M02,Heifers 250-299kg,Euro,
Cattle Price per Head,1977M03,Heifers 250-299kg,Euro,
Cattle Price per Head,1977M04,Heifers 250-299kg,Euro,205.42
Cattle Price per Head,1977M05,Heifers 250-299kg,Euro,223.41
Cattle Price per Head,1977M06,Heifers 250-299kg,Euro,246.08
Cattle Price per Head,1977M07,Heifers 250-299kg,Euro,259.74
Cattle Price per Head,1977M08,Heifers 250-299kg,Euro,258.99
Cattle Price per Head,1977M09,Heifers 250-299kg,Euro,250.44
Cattle Price per Head,1977M10,Heifers 250-299kg,Euro,234.13
Cattle Price per Head,1977M11,Heifers 250-299kg,Euro,233.12
Cattle Price per Head,1977M12,Heifers 250-299kg,Euro,234.01
Cattle Price per Head,1978M01,Heifers 250-299kg,Euro,240.18
Cattle Price per Head,1978M02,Heifers 250-299kg,Euro,249.1
Cattle Price per Head,1978M03,Heifers 250-299kg,Euro,242.23
Cattle Price per Head,1978M04,Heifers 250-299kg,Euro,283.35
Cattle Price per Head,1978M05,Heifers 250-299kg,Euro,295.7
Cattle Price per Head,1978M06,Heifers 250-299kg,Euro,313.63
Cattle Price per Head,1978M07,Heifers 250-299kg,Euro,322.89
Cattle Price per Head,1978M08,Heifers 250-299kg,Euro,333.09
Cattle Price per Head,1978M09,Heifers 250-299kg,Euro,308.76
Cattle Price per Head,1978M10,Heifers 250-299kg,Euro,280.27
Cattle Price per Head,1978M11,Heifers 250-299kg,Euro,267.76
Cattle Price per Head,1978M12,Heifers 250-299kg,Euro,232.11
Cattle Price per Head,1979M01,Heifers 250-299kg,Euro,233.82
Cattle Price per Head,1979M02,Heifers 250-299kg,Euro,211.44
Cattle Price per Head,1979M03,Heifers 250-299kg,Euro,214.48
Cattle Price per Head,1979M04,Heifers 250-299kg,Euro,236.21
Cattle Price per Head,1979M05,Heifers 250-299kg,Euro,239.49
Cattle Price per Head,1979M06,Heifers 250-299kg,Euro,266.47
Cattle Price per Head,1979M07,Heifers 250-299kg,Euro,272.47
Cattle Price per Head,1979M08,Heifers 250-299kg,Euro,259.69
Cattle Price per Head,1979M09,Heifers 250-299kg,Euro,254.99
Cattle Price per Head,1979M10,Heifers 250-299kg,Euro,238.66
Cattle Price per Head,1979M11,Heifers 250-299kg,Euro,213.39
Cattle Price per Head,1979M12,Heifers 250-299kg,Euro,224.16
Cattle Price per Head,1980M01,Heifers 250-299kg,Euro,218.61
Cattle Price per Head,1980M02,Heifers 250-299kg,Euro,231.79
Cattle Price per Head,1980M03,Heifers 250-299kg,Euro,252.82
Cattle Price per Head,1980M04,Heifers 250-299kg,Euro,295.48
Cattle Price per Head,1980M05,Heifers 250-299kg,Euro,309.8
Cattle Price per Head,1980M06,Heifers 250-299kg,Euro,322.4
Cattle Price per Head,1980M07,Heifers 250-299kg,Euro,342.71
Cattle Price per Head,1980M08,Heifers 250-299kg,Euro,320.51
Cattle Price per Head,1980M09,Heifers 250-299kg,Euro,302.49
Cattle Price per Head,1980M10,Heifers 250-299kg,Euro,310.37
Cattle Price per Head,1980M11,Heifers 250-299kg,Euro,322.88
Cattle Price per Head,1980M12,Heifers 250-299kg,Euro,317.56
Cattle Price per Head,1981M01,Heifers 250-299kg,Euro,313.74
Cattle Price per Head,1981M02,Heifers 250-299kg,Euro,324.9
Cattle Price per Head,1981M03,Heifers 250-299kg,Euro,335.3
Cattle Price per Head,1981M04,Heifers 250-299kg,Euro,369.44
Cattle Price per Head,1981M05,Heifers 250-299kg,Euro,369.58
Cattle Price per Head,1981M06,Heifers 250-299kg,Euro,379.33
Cattle Price per Head,1981M07,Heifers 250-299kg,Euro,387
