Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,1988M08,Butter,000 Tonnes,15.9
Production of Dairy Products,1988M09,Butter,000 Tonnes,12.6
Production of Dairy Products,1988M10,Butter,000 Tonnes,8.3
Production of Dairy Products,1988M11,Butter,000 Tonnes,4.5
Production of Dairy Products,1988M12,Butter,000 Tonnes,2.1
Production of Dairy Products,1989M01,Butter,000 Tonnes,3
Production of Dairy Products,1989M02,Butter,000 Tonnes,5
Production of Dairy Products,1989M03,Butter,000 Tonnes,10.3
Production of Dairy Products,1989M04,Butter,000 Tonnes,14.1
Production of Dairy Products,1989M05,Butter,000 Tonnes,21.4
Production of Dairy Products,1989M06,Butter,000 Tonnes,19.9
Production of Dairy Products,1989M07,Butter,000 Tonnes,16.6
Production of Dairy Products,1989M08,Butter,000 Tonnes,16.4
Production of Dairy Products,1989M09,Butter,000 Tonnes,12.9
Production of Dairy Products,1989M10,Butter,000 Tonnes,10.1
Production of Dairy Products,1989M11,Butter,000 Tonnes,6.5
Production of Dairy Products,1989M12,Butter,000 Tonnes,2.8
Production of Dairy Products,1990M01,Butter,000 Tonnes,3.4
Production of Dairy Products,1990M02,Butter,000 Tonnes,6
Production of Dairy Products,1990M03,Butter,000 Tonnes,11.1
Production of Dairy Products,1990M04,Butter,000 Tonnes,15.6
Production of Dairy Products,1990M05,Butter,000 Tonnes,20.9
Production of Dairy Products,1990M06,Butter,000 Tonnes,19.2
Production of Dairy Products,1990M07,Butter,000 Tonnes,19.8
Production of Dairy Products,1990M08,Butter,000 Tonnes,19.1
Production of Dairy Products,1990M09,Butter,000 Tonnes,13.9
Production of Dairy Products,1990M10,Butter,000 Tonnes,11.1
Production of Dairy Products,1990M11,Butter,000 Tonnes,5.7
Production of Dairy Products,1990M12,Butter,000 Tonnes,2.7
Production of Dairy Products,1991M01,Butter,000 Tonnes,3.3
Production of Dairy Products,1991M02,Butter,000 Tonnes,5.9
Production of Dairy Products,1991M03,Butter,000 Tonnes,11.3
