Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1986M12,Muriate of Potash (50% K),Euro per Tonne,172
Fertiliser Price,1987M01,Muriate of Potash (50% K),Euro per Tonne,172
Fertiliser Price,1987M02,Muriate of Potash (50% K),Euro per Tonne,163
Fertiliser Price,1987M03,Muriate of Potash (50% K),Euro per Tonne,162
Fertiliser Price,1987M04,Muriate of Potash (50% K),Euro per Tonne,162
Fertiliser Price,1987M05,Muriate of Potash (50% K),Euro per Tonne,161
Fertiliser Price,1987M06,Muriate of Potash (50% K),Euro per Tonne,160
Fertiliser Price,1987M07,Muriate of Potash (50% K),Euro per Tonne,160
Fertiliser Price,1987M08,Muriate of Potash (50% K),Euro per Tonne,159
Fertiliser Price,1987M09,Muriate of Potash (50% K),Euro per Tonne,161
Fertiliser Price,1987M10,Muriate of Potash (50% K),Euro per Tonne,162
Fertiliser Price,1987M11,Muriate of Potash (50% K),Euro per Tonne,165
Fertiliser Price,1987M12,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1988M01,Muriate of Potash (50% K),Euro per Tonne,169
Fertiliser Price,1988M02,Muriate of Potash (50% K),Euro per Tonne,171
Fertiliser Price,1988M03,Muriate of Potash (50% K),Euro per Tonne,172
Fertiliser Price,1988M04,Muriate of Potash (50% K),Euro per Tonne,171
Fertiliser Price,1988M05,Muriate of Potash (50% K),Euro per Tonne,170
Fertiliser Price,1988M06,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1988M07,Muriate of Potash (50% K),Euro per Tonne,170
Fertiliser Price,1988M08,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1988M09,Muriate of Potash (50% K),Euro per Tonne,170
Fertiliser Price,1988M10,Muriate of Potash (50% K),Euro per Tonne,171
Fertiliser Price,1988M11,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1988M12,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M01,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M02,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M03,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M04,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M05,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M06,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1989M07,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1989M08,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1989M09,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1989M10,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1989M11,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1989M12,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1990M01,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1990M02,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1990M03,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1990M04,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1990M05,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1990M06,Muriate of Potash (50% K),Euro per Tonne,192
Fertiliser Price,1990M07,Muriate of Potash (50% K),Euro per Tonne,196
Fertiliser Price,1990M08,Muriate of Potash (50% K),Euro per Tonne,192
Fertiliser Price,1990M09,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1990M10,Muriate of Potash (50% K),Euro per Tonne,192
Fertiliser Price,1990M11,Muriate of Potash (50% K),Euro per Tonne,191
Fertiliser Price,1990M12,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1991M01,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1991M02,Muriate of Potash (50% K),Euro per Tonne,196
Fertiliser Price,1991M03,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1991M04,Muriate of Potash (50% K),Euro per Tonne,196
Fertiliser Price,1991M05,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1991M06,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1991M07,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1991M08,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1991M09,Muriate of Potash (50% K),Euro per Tonne,191
Fertiliser Price,1991M10,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1991M11,Muriate of Potash (50% K),Euro per Tonne,197
Fertiliser Price,1991M12,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1992M01,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1992M02,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1992M03,Muriate of Potash (50% K),Euro per Tonne,192
Fertiliser Price,1992M04,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1992M05,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1992M06,Muriate of Potash (50% K),Euro per Tonne,188
Fertiliser Price,1992M07,Muriate of Potash (50% K),Euro per Tonne,188
Fertiliser Price,1992M08,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1992M09,Muriate of Potash (50% K),Euro per Tonne,188
Fertiliser Price,1992M10,Muriate of Potash (50% K),Euro per Tonne,
