Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1998M01,Heifers 200-249kg,Euro,247.87
Cattle Price per Head,1998M02,Heifers 200-249kg,Euro,198.78
Cattle Price per Head,1998M03,Heifers 200-249kg,Euro,150.85
Cattle Price per Head,1998M04,Heifers 200-249kg,Euro,169.09
Cattle Price per Head,1998M05,Heifers 200-249kg,Euro,181.94
Cattle Price per Head,1998M06,Heifers 200-249kg,Euro,206.36
Cattle Price per Head,1998M07,Heifers 200-249kg,Euro,228.86
Cattle Price per Head,1998M08,Heifers 200-249kg,Euro,246.38
Cattle Price per Head,1998M09,Heifers 200-249kg,Euro,214.39
Cattle Price per Head,1998M10,Heifers 200-249kg,Euro,204.04
Cattle Price per Head,1998M11,Heifers 200-249kg,Euro,249.83
Cattle Price per Head,1998M12,Heifers 200-249kg,Euro,197.26
Cattle Price per Head,1999M01,Heifers 200-249kg,Euro,193
Cattle Price per Head,1999M02,Heifers 200-249kg,Euro,160.34
Cattle Price per Head,1999M03,Heifers 200-249kg,Euro,196.81
Cattle Price per Head,1999M04,Heifers 200-249kg,Euro,183.4
Cattle Price per Head,1999M05,Heifers 200-249kg,Euro,257.67
Cattle Price per Head,1999M06,Heifers 200-249kg,Euro,277.93
Cattle Price per Head,1999M07,Heifers 200-249kg,Euro,276.23
Cattle Price per Head,1999M08,Heifers 200-249kg,Euro,289.73
Cattle Price per Head,1999M09,Heifers 200-249kg,Euro,309.75
Cattle Price per Head,1999M10,Heifers 200-249kg,Euro,319.53
Cattle Price per Head,1999M11,Heifers 200-249kg,Euro,335.72
Cattle Price per Head,1999M12,Heifers 200-249kg,Euro,340.57
Cattle Price per Head,2000M01,Heifers 200-249kg,Euro,337.47
Cattle Price per Head,2000M02,Heifers 200-249kg,Euro,301.27
Cattle Price per Head,2000M03,Heifers 200-249kg,Euro,294.69
Cattle Price per Head,2000M04,Heifers 200-249kg,Euro,269.18
Cattle Price per Head,2000M05,Heifers 200-249kg,Euro,334.54
Cattle Price per Head,2000M06,Heifers 200-249kg,Euro,292.87
Cattle Price per Head,2000M07,Heifers 200-249kg,Euro,
Cattle Price per Head,2000M08,Heifers 200-249kg,Euro,
Cattle Price per Head,2000M09,Heifers 200-249kg,Euro,
Cattle Price per Head,2000M10,Heifers 200-249kg,Euro,
Cattle Price per Head,2000M11,Heifers 200-249kg,Euro,277.26
Cattle Price per Head,2000M12,Heifers 200-249kg,Euro,269.9
Cattle Price per Head,2001M01,Heifers 200-249kg,Euro,272.21
Cattle Price per Head,2001M02,Heifers 200-249kg,Euro,287.14
Cattle Price per Head,2001M03,Heifers 200-249kg,Euro,289.17
Cattle Price per Head,2001M04,Heifers 200-249kg,Euro,318.12
Cattle Price per Head,2001M05,Heifers 200-249kg,Euro,349.1
Cattle Price per Head,2001M06,Heifers 200-249kg,Euro,348.61
Cattle Price per Head,2001M07,Heifers 200-249kg,Euro,343.82
Cattle Price per Head,2001M08,Heifers 200-249kg,Euro,346.81
Cattle Price per Head,2001M09,Heifers 200-249kg,Euro,334.94
Cattle Price per Head,2001M10,Heifers 200-249kg,Euro,298.86
Cattle Price per Head,2001M11,Heifers 200-249kg,Euro,283.72
Cattle Price per Head,2001M12,Heifers 200-249kg,Euro,272.42
Cattle Price per Head,2002M01,Heifers 200-249kg,Euro,274.71
Cattle Price per Head,2002M02,Heifers 200-249kg,Euro,286.94
Cattle Price per Head,2002M03,Heifers 200-249kg,Euro,283.65
Cattle Price per Head,2002M04,Heifers 200-249kg,Euro,279.94
Cattle Price per Head,2002M05,Heifers 200-249kg,Euro,310.74
Cattle Price per Head,2002M06,Heifers 200-249kg,Euro,333.42
Cattle Price per Head,2002M07,Heifers 200-249kg,Euro,313.37
Cattle Price per Head,2002M08,Heifers 200-249kg,Euro,327.99
Cattle Price per Head,2002M09,Heifers 200-249kg,Euro,325.42
Cattle Price per Head,2002M10,Heifers 200-249kg,Euro,340.46
Cattle Price per Head,2002M11,Heifers 200-249kg,Euro,357.43
Cattle Price per Head,2002M12,Heifers 200-249kg,Euro,339.24
Cattle Price per Head,2003M01,Heifers 200-249kg,Euro,317.5
Cattle Price per Head,2003M02,Heifers 200-249kg,Euro,303.01
Cattle Price per Head,2003M03,Heifers 200-249kg,Euro,307.66
Cattle Price per Head,2003M04,Heifers 200-249kg,Euro,334.13
Cattle Price per Head,2003M05,Heifers 200-249kg,Euro,351.18
Cattle Price per Head,2003M06,Heifers 200-249kg,Euro,373.41
Cattle Price per Head,2003M07,Heifers 200-249kg,Euro,370.01
Cattle Price per Head,2003M08,Heifers 200-249kg,Euro,392.52
Cattle Price per Head,2003M09,Heifers 200-249kg,Euro,402.6
Cattle Price per Head,2003M10,Heifers 200-249kg,Euro,412.86
Cattle Price per Head,2003M11,Heifers 200-249kg,Euro,366.32
Cattle Price per Head,2003M12,Heifers 200-249kg,Euro,375.06
Cattle Price per Head,2004M01,Heifers 200-249kg,Euro,361.63
Cattle Price per Head,2004M02,Heifers 200-249kg,Euro,328.94
Cattle Price per Head,2004M03,Heifers 200-249kg,Euro,340.15
Cattle Price per Head,2004M04,Heifers 200-249kg,Euro,345.72
Cattle Price per Head,2004M05,Heifers 200-249kg,Euro,381.17
Cattle Price per Head,2004M06,Heifers 200-249kg,Euro,410.04
Cattle Price per Head,2004M07,Heifers 200-249kg,Euro,393.65
Cattle Price per Head,2004M08,Heifers 200-249kg,Euro,397.67
Cattle Price per Head,2004M09,Heifers 200-249kg,Euro,369.64
Cattle Price per Head,2004M10,Heifers 200-249kg,Euro,366.4
Cattle Price per Head,2004M11,Heifers 200-249kg,Euro,364.37
Cattle Price per Head,2004M12,Heifers 200-249kg,Euro,330.45
Cattle Price per Head,2005M01,Heifers 200-249kg,Euro,340.18
Cattle Price per Head,2005M02,Heifers 200-249kg,Euro,344.3
Cattle Price per Head,2005M03,Heifers 200-249kg,Euro,333.81
Cattle Price per Head,2005M04,Heifers 200-249kg,Euro,330.9
Cattle Price per Head,2005M05,Heifers 200-249kg,Euro,357.5
Cattle Price per Head,2005M06,Heifers 200-249kg,Euro,367.57
Cattle Price per Head,2005M07,Heifers 200-249kg,Euro,372.23
Cattle Price per Head,2005M08,Heifers 200-249kg,Euro,365.12
Cattle Price per Head,2005M09,Heifers 200-249kg,Euro,371.92
Cattle Price per Head,2005M10,Heifers 200-249kg,Euro,355.25
Cattle Price per Head,2005M11,Heifers 200-249kg,Euro,340.94
Cattle Price per Head,2005M12,Heifers 200-249kg,Euro,328.91
Cattle Price per Head,2006M01,Heifers 200-249kg,Euro,379.25
Cattle Price per Head,2006M02,Heifers 200-249kg,Euro,322.63
Cattle Price per Head,2006M03,Heifers 200-249kg,Euro,314.47
Cattle Price per Head,2006M04,Heifers 200-249kg,Euro,312.27
Cattle Price per Head,2006M05,Heifers 200-249kg,Euro,363.84
Cattle Price per Head,2006M06,Heifers 200-249kg,Euro,386.35
Cattle Price per Head,2006M07,Heifers 200-249kg,Euro,409.6
Cattle Price per Head,2006M08,Heifers 200-249kg,Euro,400.01
Cattle Price per Head,2006M09,Heifers 200-249kg,Euro,461.92
Cattle Price per Head,2006M10,Heifers 200-249kg,Euro,404.84
Cattle Price per Head,2006M11,Heifers 200-249kg,Euro,364.11
Cattle Price per Head,2006M12,Heifers 200-249kg,Euro,346.09
Cattle Price per Head,2007M01,Heifers 200-249kg,Euro,363.58
Cattle Price per Head,2007M02,Heifers 200-249kg,Euro,386.08
Cattle Price per Head,2007M03,Heifers 200-249kg,Euro,409.33
Cattle Price per Head,2007M04,Heifers 200-249kg,Euro,399.75
Cattle Price per Head,2007M05,Heifers 200-249kg,Euro,398.11
Cattle Price per Head,2007M06,Heifers 200-249kg,Euro,404.58
Cattle Price per Head,2007M07,Heifers 200-249kg,Euro,363.84
Cattle Price per Head,2007M08,Heifers 200-249kg,Euro,345.82
Cattle Price per Head,2007M09,Heifers 200-249kg,Euro,418.25
Cattle Price per Head,2007M10,Heifers 200-249kg,Euro,340.89
Cattle Price per Head,2007M11,Heifers 200-249kg,Euro,350.59
Cattle Price per Head,2007M12,Heifers 200-249kg,Euro,372.11
Cattle Price per Head,2008M01,Heifers 200-249kg,Euro,428.58
Cattle Price per Head,2008M02,Heifers 200-249kg,Euro,464.02
Cattle Price per Head,2008M03,Heifers 200-249kg,Euro,458.72
Cattle Price per Head,2008M04,Heifers 200-249kg,Euro,436.13
Cattle Price per Head,2008M05,Heifers 200-249kg,Euro,439.26
Cattle Price per Head,2008M06,Heifers 200-249kg,Euro,441.39
Cattle Price per Head,2008M07,Heifers 200-249kg,Euro,414.36
Cattle Price per Head,2008M08,Heifers 200-249kg,Euro,399.9
Cattle Price per Head,2008M09,Heifers 200-249kg,Euro,378.38
Cattle Price per Head,2008M10,Heifers 200-249kg,Euro,405.89
Cattle Price per Head,2008M11,Heifers 200-249kg,Euro,359.57
Cattle Price per Head,2008M12,Heifers 200-249kg,Euro,358.54
Cattle Price per Head,2009M01,Heifers 200-249kg,Euro,398.77
Cattle Price per Head,2009M02,Heifers 200-249kg,Euro,386.59
Cattle Price per Head,2009M03,Heifers 200-249kg,Euro,391.19
Cattle Price per Head,2009M04,Heifers 200-249kg,Euro,371.76
Cattle Price per Head,2009M05,Heifers 200-249kg,Euro,343.63
Cattle Price per Head,2009M06,Heifers 200-249kg,Euro,319.82
Cattle Price per Head,2009M07,Heifers 200-249kg,Euro,347.85
Cattle Price per Head,2009M08,Heifers 200-249kg,Euro,351.04
Cattle Price per Head,2009M09,Heifers 200-249kg,Euro,310.17
Cattle Price per Head,2009M10,Heifers 200-249kg,Euro,323.93
Cattle Price per Head,2009M11,Heifers 200-249kg,Euro,288
Cattle Price per Head,2009M12,Heifers 200-249kg,Euro,349.82
Cattle Price per Head,2010M01,Heifers 200-249kg,Euro,363.57
Cattle Price per Head,2010M02,Heifers 200-249kg,Euro,371.53
Cattle Price per Head,2010M03,Heifers 200-249kg,Euro,374.87
Cattle Price per Head,2010M04,Heifers 200-249kg,Euro,354.17
