Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1976M01,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M02,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M03,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M04,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M05,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M06,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M07,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M08,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M09,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M10,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M11,Heifers 200-249kg,Euro,
Cattle Price per Head,1976M12,Heifers 200-249kg,Euro,
Cattle Price per Head,1977M01,Heifers 200-249kg,Euro,
Cattle Price per Head,1977M02,Heifers 200-249kg,Euro,
Cattle Price per Head,1977M03,Heifers 200-249kg,Euro,
Cattle Price per Head,1977M04,Heifers 200-249kg,Euro,
Cattle Price per Head,1977M05,Heifers 200-249kg,Euro,168.1
Cattle Price per Head,1977M06,Heifers 200-249kg,Euro,183.82
Cattle Price per Head,1977M07,Heifers 200-249kg,Euro,203.48
Cattle Price per Head,1977M08,Heifers 200-249kg,Euro,203.89
Cattle Price per Head,1977M09,Heifers 200-249kg,Euro,206.98
Cattle Price per Head,1977M10,Heifers 200-249kg,Euro,204.29
Cattle Price per Head,1977M11,Heifers 200-249kg,Euro,192.95
Cattle Price per Head,1977M12,Heifers 200-249kg,Euro,192.16
Cattle Price per Head,1978M01,Heifers 200-249kg,Euro,194.33
Cattle Price per Head,1978M02,Heifers 200-249kg,Euro,174.25
Cattle Price per Head,1978M03,Heifers 200-249kg,Euro,208.39
Cattle Price per Head,1978M04,Heifers 200-249kg,Euro,204.57
Cattle Price per Head,1978M05,Heifers 200-249kg,Euro,234.76
Cattle Price per Head,1978M06,Heifers 200-249kg,Euro,258.61
Cattle Price per Head,1978M07,Heifers 200-249kg,Euro,268.74
Cattle Price per Head,1978M08,Heifers 200-249kg,Euro,270.68
Cattle Price per Head,1978M09,Heifers 200-249kg,Euro,272.9
Cattle Price per Head,1978M10,Heifers 200-249kg,Euro,257.48
Cattle Price per Head,1978M11,Heifers 200-249kg,Euro,235.84
Cattle Price per Head,1978M12,Heifers 200-249kg,Euro,218.5
Cattle Price per Head,1979M01,Heifers 200-249kg,Euro,195.64
Cattle Price per Head,1979M02,Heifers 200-249kg,Euro,179.49
Cattle Price per Head,1979M03,Heifers 200-249kg,Euro,170.36
Cattle Price per Head,1979M04,Heifers 200-249kg,Euro,177.05
Cattle Price per Head,1979M05,Heifers 200-249kg,Euro,181.84
Cattle Price per Head,1979M06,Heifers 200-249kg,Euro,197.6
Cattle Price per Head,1979M07,Heifers 200-249kg,Euro,213.02
Cattle Price per Head,1979M08,Heifers 200-249kg,Euro,218.19
Cattle Price per Head,1979M09,Heifers 200-249kg,Euro,200.3
Cattle Price per Head,1979M10,Heifers 200-249kg,Euro,199.68
Cattle Price per Head,1979M11,Heifers 200-249kg,Euro,189.53
Cattle Price per Head,1979M12,Heifers 200-249kg,Euro,175.17
Cattle Price per Head,1980M01,Heifers 200-249kg,Euro,180.3
Cattle Price per Head,1980M02,Heifers 200-249kg,Euro,173.81
Cattle Price per Head,1980M03,Heifers 200-249kg,Euro,191.48
Cattle Price per Head,1980M04,Heifers 200-249kg,Euro,207.02
Cattle Price per Head,1980M05,Heifers 200-249kg,Euro,247.61
Cattle Price per Head,1980M06,Heifers 200-249kg,Euro,255.69
Cattle Price per Head,1980M07,Heifers 200-249kg,Euro,263.65
Cattle Price per Head,1980M08,Heifers 200-249kg,Euro,282.63
Cattle Price per Head,1980M09,Heifers 200-249kg,Euro,261.76
Cattle Price per Head,1980M10,Heifers 200-249kg,Euro,252.63
Cattle Price per Head,1980M11,Heifers 200-249kg,Euro,252.63
Cattle Price per Head,1980M12,Heifers 200-249kg,Euro,269.62
Cattle Price per Head,1981M01,Heifers 200-249kg,Euro,262.71
Cattle Price per Head,1981M02,Heifers 200-249kg,Euro,265.67
Cattle Price per Head,1981M03,Heifers 200-249kg,Euro,272.89
Cattle Price per Head,1981M04,Heifers 200-249kg,Euro,286.39
Cattle Price per Head,1981M05,Heifers 200-249kg,Euro,308.64
Cattle Price per Head,1981M06,Heifers 200-249kg,Euro,322.37
Cattle Price per Head,1981M07,Heifers 200-249kg,Euro,317.57
Cattle Price per Head,1981M08,Heifers 200-249kg,Euro,331.25
Cattle Price per Head,1981M09,Heifers 200-249kg,Euro,314.02
Cattle Price per Head,1981M10,Heifers 200-249kg,Euro,327.16
Cattle Price per Head,1981M11,Heifers 200-249kg,Euro,305.66
Cattle Price per Head,1981M12,Heifers 200-249kg,Euro,302.17
Cattle Price per Head,1982M01,Heifers 200-249kg,Euro,296.6
Cattle Price per Head,1982M02,Heifers 200-249kg,Euro,298.39
Cattle Price per Head,1982M03,Heifers 200-249kg,Euro,293.6
Cattle Price per Head,1982M04,Heifers 200-249kg,Euro,293.8
Cattle Price per Head,1982M05,Heifers 200-249kg,Euro,311.16
Cattle Price per Head,1982M06,Heifers 200-249kg,Euro,312.13
Cattle Price per Head,1982M07,Heifers 200-249kg,Euro,332.6
Cattle Price per Head,1982M08,Heifers 200-249kg,Euro,323.21
Cattle Price per Head,1982M09,Heifers 200-249kg,Euro,318.34
Cattle Price per Head,1982M10,Heifers 200-249kg,Euro,323.76
Cattle Price per Head,1982M11,Heifers 200-249kg,Euro,310.1
Cattle Price per Head,1982M12,Heifers 200-249kg,Euro,299.56
Cattle Price per Head,1983M01,Heifers 200-249kg,Euro,300.39
Cattle Price per Head,1983M02,Heifers 200-249kg,Euro,295.56
Cattle Price per Head,1983M03,Heifers 200-249kg,Euro,293.69
Cattle Price per Head,1983M04,Heifers 200-249kg,Euro,293.17
Cattle Price per Head,1983M05,Heifers 200-249kg,Euro,305.69
Cattle Price per Head,1983M06,Heifers 200-249kg,Euro,317.32
Cattle Price per Head,1983M07,Heifers 200-249kg,Euro,342.47
Cattle Price per Head,1983M08,Heifers 200-249kg,Euro,342.35
Cattle Price per Head,1983M09,Heifers 200-249kg,Euro,343.65
Cattle Price per Head,1983M10,Heifers 200-249kg,Euro,318.26
Cattle Price per Head,1983M11,Heifers 200-249kg,Euro,308.94
Cattle Price per Head,1983M12,Heifers 200-249kg,Euro,316.94
Cattle Price per Head,1984M01,Heifers 200-249kg,Euro,294.88
Cattle Price per Head,1984M02,Heifers 200-249kg,Euro,292.98
Cattle Price per Head,1984M03,Heifers 200-249kg,Euro,297.49
Cattle Price per Head,1984M04,Heifers 200-249kg,Euro,310.51
Cattle Price per Head,1984M05,Heifers 200-249kg,Euro,334.86
Cattle Price per Head,1984M06,Heifers 200-249kg,Euro,336.57
Cattle Price per Head,1984M07,Heifers 200-249kg,Euro,351.5
Cattle Price per Head,1984M08,Heifers 200-249kg,Euro,357.7
Cattle Price per Head,1984M09,Heifers 200-249kg,Euro,347.2
Cattle Price per Head,1984M10,Heifers 200-249kg,Euro,338.64
Cattle Price per Head,1984M11,Heifers 200-249kg,Euro,325.71
Cattle Price per Head,1984M12,Heifers 200-249kg,Euro,306.12
Cattle Price per Head,1985M01,Heifers 200-249kg,Euro,289.89
Cattle Price per Head,1985M02,Heifers 200-249kg,Euro,303.89
Cattle Price per Head,1985M03,Heifers 200-249kg,Euro,305.51
Cattle Price per Head,1985M04,Heifers 200-249kg,Euro,296.37
Cattle Price per Head,1985M05,Heifers 200-249kg,Euro,327.72
Cattle Price per Head,1985M06,Heifers 200-249kg,Euro,329.57
Cattle Price per Head,1985M07,Heifers 200-249kg,Euro,334.32
Cattle Price per Head,1985M08,Heifers 200-249kg,Euro,338.45
Cattle Price per Head,1985M09,Heifers 200-249kg,Euro,323.02
Cattle Price per Head,1985M10,Heifers 200-249kg,Euro,308.18
Cattle Price per Head,1985M11,Heifers 200-249kg,Euro,306.43
Cattle Price per Head,1985M12,Heifers 200-249kg,Euro,285.06
Cattle Price per Head,1986M01,Heifers 200-249kg,Euro,280.92
Cattle Price per Head,1986M02,Heifers 200-249kg,Euro,292.97
Cattle Price per Head,1986M03,Heifers 200-249kg,Euro,291.43
Cattle Price per Head,1986M04,Heifers 200-249kg,Euro,285.32
Cattle Price per Head,1986M05,Heifers 200-249kg,Euro,311.2
Cattle Price per Head,1986M06,Heifers 200-249kg,Euro,307.64
Cattle Price per Head,1986M07,Heifers 200-249kg,Euro,339.25
Cattle Price per Head,1986M08,Heifers 200-249kg,Euro,341.7
Cattle Price per Head,1986M09,Heifers 200-249kg,Euro,354
Cattle Price per Head,1986M10,Heifers 200-249kg,Euro,334.23
Cattle Price per Head,1986M11,Heifers 200-249kg,Euro,335.22
Cattle Price per Head,1986M12,Heifers 200-249kg,Euro,339.11
Cattle Price per Head,1987M01,Heifers 200-249kg,Euro,333.88
Cattle Price per Head,1987M02,Heifers 200-249kg,Euro,338.84
Cattle Price per Head,1987M03,Heifers 200-249kg,Euro,337.52
Cattle Price per Head,1987M04,Heifers 200-249kg,Euro,352.02
Cattle Price per Head,1987M05,Heifers 200-249kg,Euro,414.86
Cattle Price per Head,1987M06,Heifers 200-249kg,Euro,425.06
Cattle Price per Head,1987M07,Heifers 200-249kg,Euro,453.44
Cattle Price per Head,1987M08,Heifers 200-249kg,Euro,482.31
Cattle Price per Head,1987M09,Heifers 200-249kg,Euro,488.32
Cattle Price per Head,1987M10,Heifers 200-249kg,Euro,490.17
Cattle Price per Head,1987M11,Heifers 200-249kg,Euro,478.41
Cattle Price per Head,1987M12,Heifers 200-249kg,Euro,482.12
Cattle Price per Head,1988M01,Heifers 200-249kg,Euro,439.37
Cattle Price per Head,1988M02,Heifers 200-249kg,Euro,439.24
Cattle Price per Head,1988M03,Heifers 200-249kg,Euro,476.7
Cattle Price per Head,1988M04,Heifers 200-249kg,Euro,473.8
Cattle Price per Head,1988M05,Heifers 200-249kg,Euro,494.63
Cattle Price per Head,1988M06,Heifers 200-249kg,Euro,506.85
Cattle Price per Head,1988M07,Heifers 200-249kg,Euro,499.49
Cattle Price per Head,1988M08,Heifers 200-249kg,Euro,499.86
Cattle Price per Head,1988M09,Heifers 200-249kg,Euro,499.03
Cattle Price per Head,1988M10,Heifers 200-249kg,Euro,489.38
Cattle Price per Head,1988M11,Heifers 200-249kg,Euro,438.45
Cattle Price per Head,1988M12,Heifers 200-249kg,Euro,419.2
Cattle Price per Head,1989M01,Heifers 200-249kg,Euro,378.66
Cattle Price per Head,1989M02,Heifers 200-249kg,Euro,395.38
Cattle Price per Head,1989M03,Heifers 200-249kg,Euro,397.09
Cattle Price per Head,1989M04,Heifers 200-249kg,Euro,374.66
Cattle Price per Head,1989M05,Heifers 200-249kg,Euro,386.2
Cattle Price per Head,1989M06,Heifers 200-249kg,Euro,399.64
Cattle Price per Head,1989M07,Heifers 200-249kg,Euro,424.83
Cattle Price per Head,1989M08,Heifers 200-249kg,Euro,421.6
Cattle Price per Head,1989M09,Heifers 200-249kg,Euro,388.55
Cattle Price per Head,1989M10,Heifers 200-249kg,Euro,354.42
Cattle Price per Head,1989M11,Heifers 200-249kg,Euro,357.69
Cattle Price per Head,1989M12,Heifers 200-249kg,Euro,328.91
Cattle Price per Head,1990M01,Heifers 200-249kg,Euro,334.99
Cattle Price per Head,1990M02,Heifers 200-249kg,Euro,311.24
Cattle Price per Head,1990M03,Heifers 200-249kg,Euro,318.74
Cattle Price per Head,1990M04,Heifers 200-249kg,Euro,309.13
Cattle Price per Head,1990M05,Heifers 200-249kg,Euro,323.24
Cattle Price per Head,1990M06,Heifers 200-249kg,Euro,335.3
Cattle Price per Head,1990M07,Heifers 200-249kg,Euro,319.62
Cattle Price per Head,1990M08,Heifers 200-249kg,Euro,330.18
Cattle Price per Head,1990M09,Heifers 200-249kg,Euro,323.05
Cattle Price per Head,1990M10,Heifers 200-249kg,Euro,325.07
Cattle Price per Head,1990M11,Heifers 200-249kg,Euro,314.1
Cattle Price per Head,1990M12,Heifers 200-249kg,Euro,317.31
Cattle Price per Head,1991M01,Heifers 200-249kg,Euro,307.68
Cattle Price per Head,1991M02,Heifers 200-249kg,Euro,308.58
Cattle Price per Head,1991M03,Heifers 200-249kg,Euro,299.84
Cattle Price per Head,1991M04,Heifers 200-249kg,Euro,310.87
Cattle Price per Head,1991M05,Heifers 200-249kg,Euro,321.89
Cattle Price per Head,1991M06,Heifers 200-249kg,Euro,329.75
Cattle Price per Head,1991M07,Heifers 200-249kg,Euro,331.38
Cattle Price per Head,1991M08,Heifers 200-249kg,Euro,339.26
Cattle Price per Head,1991M09,Heifers 200-249kg,Euro,328.65
Cattle Price per Head,1991M10,Heifers 200-249kg,Euro,330.22
Cattle Price per Head,1991M11,Heifers 200-249kg,Euro,333.08
Cattle Price per Head,1991M12,Heifers 200-249kg,Euro,320.25
Cattle Price per Head,1992M01,Heifers 200-249kg,Euro,320.2
Cattle Price per Head,1992M02,Heifers 200-249kg,Euro,314.2
Cattle Price per Head,1992M03,Heifers 200-249kg,Euro,308.39
Cattle Price per Head,1992M04,Heifers 200-249kg,Euro,292.41
Cattle Price per Head,1992M05,Heifers 200-249kg,Euro,313.02
Cattle Price per Head,1992M06,Heifers 200-249kg,Euro,350
Cattle Price per Head,1992M07,Heifers 200-249kg,Euro,362.5
Cattle Price per Head,1992M08,Heifers 200-249kg,Euro,367.96
Cattle Price per Head,1992M09,Heifers 200-249kg,Euro,378.92
Cattle Price per Head,1992M10,Heifers 200-249kg,Euro,373.48
Cattle Price per Head,1992M11,Heifers 200-249kg,Euro,365.54
Cattle Price per Head,1992M12,Heifers 200-249kg,Euro,354.03
Cattle Price per Head,1993M01,Heifers 200-249kg,Euro,380.07
Cattle Price per Head,1993M02,Heifers 200-249kg,Euro,341.08
Cattle Price per Head,1993M03,Heifers 200-249kg,Euro,342.65
Cattle Price per Head,1993M04,Heifers 200-249kg,Euro,359.73
Cattle Price per Head,1993M05,Heifers 200-249kg,Euro,415.01
Cattle Price per Head,1993M06,Heifers 200-249kg,Euro,417.29
Cattle Price per Head,1993M07,Heifers 200-249kg,Euro,412.27
Cattle Price per Head,1993M08,Heifers 200-249kg,Euro,417.05
Cattle Price per Head,1993M09,Heifers 200-249kg,Euro,434.75
Cattle Price per Head,1993M10,Heifers 200-249kg,Euro,395.12
Cattle Price per Head,1993M11,Heifers 200-249kg,Euro,400.09
Cattle Price per Head,1993M12,Heifers 200-249kg,Euro,374.84
Cattle Price per Head,1994M01,Heifers 200-249kg,Euro,356.07
Cattle Price per Head,1994M02,Heifers 200-249kg,Euro,327.33
Cattle Price per Head,1994M03,Heifers 200-249kg,Euro,347.83
Cattle Price per Head,1994M04,Heifers 200-249kg,Euro,348.72
Cattle Price per Head,1994M05,Heifers 200-249kg,Euro,364.32
Cattle Price per Head,1994M06,Heifers 200-249kg,Euro,374.63
Cattle Price per Head,1994M07,Heifers 200-249kg,Euro,374.33
Cattle Price per Head,1994M08,Heifers 200-249kg,Euro,390.19
Cattle Price per Head,1994M09,Heifers 200-249kg,Euro,388.43
Cattle Price per Head,1994M10,Heifers 200-249kg,Euro,367.65
Cattle Price per Head,1994M11,Heifers 200-249kg,Euro,370.65
Cattle Price per Head,1994M12,Heifers 200-249kg,Euro,381.37
Cattle Price per Head,1995M01,Heifers 200-249kg,Euro,346.56
Cattle Price per Head,1995M02,Heifers 200-249kg,Euro,351.59
Cattle Price per Head,1995M03,Heifers 200-249kg,Euro,324.93
Cattle Price per Head,1995M04,Heifers 200-249kg,Euro,349.51
Cattle Price per Head,1995M05,Heifers 200-249kg,Euro,359.26
Cattle Price per Head,1995M06,Heifers 200-249kg,Euro,374.15
Cattle Price per Head,1995M07,Heifers 200-249kg,Euro,371.93
Cattle Price per Head,1995M08,Heifers 200-249kg,Euro,340.57
Cattle Price per Head,1995M09,Heifers 200-249kg,Euro,335.29
Cattle Price per Head,1995M10,Heifers 200-249kg,Euro,331.23
Cattle Price per Head,1995M11,Heifers 200-249kg,Euro,301.7
Cattle Price per Head,1995M12,Heifers 200-249kg,Euro,288.05
Cattle Price per Head,1996M01,Heifers 200-249kg,Euro,286.87
Cattle Price per Head,1996M02,Heifers 200-249kg,Euro,254.37
Cattle Price per Head,1996M03,Heifers 200-249kg,Euro,302.98
Cattle Price per Head,1996M04,Heifers 200-249kg,Euro,260.14
Cattle Price per Head,1996M05,Heifers 200-249kg,Euro,293.43
Cattle Price per Head,1996M06,Heifers 200-249kg,Euro,290.41
Cattle Price per Head,1996M07,Heifers 200-249kg,Euro,322.75
Cattle Price per Head,1996M08,Heifers 200-249kg,Euro,313.09
Cattle Price per Head,1996M09,Heifers 200-249kg,Euro,302.84
Cattle Price per Head,1996M10,Heifers 200-249kg,Euro,318.4
Cattle Price per Head,1996M11,Heifers 200-249kg,Euro,302.56
Cattle Price per Head,1996M12,Heifers 200-249kg,Euro,318.55
Cattle Price per Head,1997M01,Heifers 200-249kg,Euro,280.26
Cattle Price per Head,1997M02,Heifers 200-249kg,Euro,273.26
Cattle Price per Head,1997M03,Heifers 200-249kg,Euro,263.59
Cattle Price per Head,1997M04,Heifers 200-249kg,Euro,265.6
Cattle Price per Head,1997M05,Heifers 200-249kg,Euro,268.51
Cattle Price per Head,1997M06,Heifers 200-249kg,Euro,291.69
Cattle Price per Head,1997M07,Heifers 200-249kg,Euro,301.67
Cattle Price per Head,1997M08,Heifers 200-249kg,Euro,294.57
Cattle Price per Head,1997M09,Heifers 200-249kg,Euro,270.88
Cattle Price per Head,1997M10,Heifers 200-249kg,Euro,261.93
Cattle Price per Head,1997M11,Heifers 200-249kg,Euro,264.14
Cattle Price per Head,1997M12,Heifers 200-249kg,Euro,245.12
