Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1988M01,Urea (46% N),Euro per Tonne,165
Fertiliser Price,1988M02,Urea (46% N),Euro per Tonne,162
Fertiliser Price,1988M03,Urea (46% N),Euro per Tonne,165
Fertiliser Price,1988M04,Urea (46% N),Euro per Tonne,165
Fertiliser Price,1988M05,Urea (46% N),Euro per Tonne,166
Fertiliser Price,1988M06,Urea (46% N),Euro per Tonne,165
Fertiliser Price,1988M07,Urea (46% N),Euro per Tonne,165
Fertiliser Price,1988M08,Urea (46% N),Euro per Tonne,163
Fertiliser Price,1988M09,Urea (46% N),Euro per Tonne,165
Fertiliser Price,1988M10,Urea (46% N),Euro per Tonne,164
Fertiliser Price,1988M11,Urea (46% N),Euro per Tonne,178
Fertiliser Price,1988M12,Urea (46% N),Euro per Tonne,184
Fertiliser Price,1989M01,Urea (46% N),Euro per Tonne,185
Fertiliser Price,1989M02,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1989M03,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1989M04,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1989M05,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1989M06,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1989M07,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1989M08,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1989M09,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1989M10,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1989M11,Urea (46% N),Euro per Tonne,187
Fertiliser Price,1989M12,Urea (46% N),Euro per Tonne,185
Fertiliser Price,1990M01,Urea (46% N),Euro per Tonne,181
Fertiliser Price,1990M02,Urea (46% N),Euro per Tonne,178
Fertiliser Price,1990M03,Urea (46% N),Euro per Tonne,178
Fertiliser Price,1990M04,Urea (46% N),Euro per Tonne,178
Fertiliser Price,1990M05,Urea (46% N),Euro per Tonne,177
Fertiliser Price,1990M06,Urea (46% N),Euro per Tonne,177
Fertiliser Price,1990M07,Urea (46% N),Euro per Tonne,176
Fertiliser Price,1990M08,Urea (46% N),Euro per Tonne,176
Fertiliser Price,1990M09,Urea (46% N),Euro per Tonne,174
Fertiliser Price,1990M10,Urea (46% N),Euro per Tonne,176
Fertiliser Price,1990M11,Urea (46% N),Euro per Tonne,177
Fertiliser Price,1990M12,Urea (46% N),Euro per Tonne,193
Fertiliser Price,1991M01,Urea (46% N),Euro per Tonne,198
Fertiliser Price,1991M02,Urea (46% N),Euro per Tonne,199
Fertiliser Price,1991M03,Urea (46% N),Euro per Tonne,200
Fertiliser Price,1991M04,Urea (46% N),Euro per Tonne,200
Fertiliser Price,1991M05,Urea (46% N),Euro per Tonne,200
Fertiliser Price,1991M06,Urea (46% N),Euro per Tonne,200
Fertiliser Price,1991M07,Urea (46% N),Euro per Tonne,199
Fertiliser Price,1991M08,Urea (46% N),Euro per Tonne,198
Fertiliser Price,1991M09,Urea (46% N),Euro per Tonne,198
Fertiliser Price,1991M10,Urea (46% N),Euro per Tonne,198
Fertiliser Price,1991M11,Urea (46% N),Euro per Tonne,199
Fertiliser Price,1991M12,Urea (46% N),Euro per Tonne,199
Fertiliser Price,1992M01,Urea (46% N),Euro per Tonne,198
Fertiliser Price,1992M02,Urea (46% N),Euro per Tonne,197
Fertiliser Price,1992M03,Urea (46% N),Euro per Tonne,196
Fertiliser Price,1992M04,Urea (46% N),Euro per Tonne,196
Fertiliser Price,1992M05,Urea (46% N),Euro per Tonne,194
Fertiliser Price,1992M06,Urea (46% N),Euro per Tonne,194
Fertiliser Price,1992M07,Urea (46% N),Euro per Tonne,194
Fertiliser Price,1992M08,Urea (46% N),Euro per Tonne,195
Fertiliser Price,1992M09,Urea (46% N),Euro per Tonne,195
Fertiliser Price,1992M10,Urea (46% N),Euro per Tonne,193
Fertiliser Price,1992M11,Urea (46% N),Euro per Tonne,192
Fertiliser Price,1992M12,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1993M01,Urea (46% N),Euro per Tonne,193
Fertiliser Price,1993M02,Urea (46% N),Euro per Tonne,185
Fertiliser Price,1993M03,Urea (46% N),Euro per Tonne,182
Fertiliser Price,1993M04,Urea (46% N),Euro per Tonne,182
Fertiliser Price,1993M05,Urea (46% N),Euro per Tonne,179
Fertiliser Price,1993M06,Urea (46% N),Euro per Tonne,176
Fertiliser Price,1993M07,Urea (46% N),Euro per Tonne,176
Fertiliser Price,1993M08,Urea (46% N),Euro per Tonne,175
Fertiliser Price,1993M09,Urea (46% N),Euro per Tonne,175
Fertiliser Price,1993M10,Urea (46% N),Euro per Tonne,175
Fertiliser Price,1993M11,Urea (46% N),Euro per Tonne,178
Fertiliser Price,1993M12,Urea (46% N),Euro per Tonne,180
Fertiliser Price,1994M01,Urea (46% N),Euro per Tonne,186
Fertiliser Price,1994M02,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1994M03,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1994M04,Urea (46% N),Euro per Tonne,180
Fertiliser Price,1994M05,Urea (46% N),Euro per Tonne,186
Fertiliser Price,1994M06,Urea (46% N),Euro per Tonne,186
Fertiliser Price,1994M07,Urea (46% N),Euro per Tonne,185
Fertiliser Price,1994M08,Urea (46% N),Euro per Tonne,184
Fertiliser Price,1994M09,Urea (46% N),Euro per Tonne,183
Fertiliser Price,1994M10,Urea (46% N),Euro per Tonne,183
Fertiliser Price,1994M11,Urea (46% N),Euro per Tonne,182
Fertiliser Price,1994M12,Urea (46% N),Euro per Tonne,191
Fertiliser Price,1995M01,Urea (46% N),Euro per Tonne,194
Fertiliser Price,1995M02,Urea (46% N),Euro per Tonne,201
Fertiliser Price,1995M03,Urea (46% N),Euro per Tonne,202
Fertiliser Price,1995M04,Urea (46% N),Euro per Tonne,200
Fertiliser Price,1995M05,Urea (46% N),Euro per Tonne,202
Fertiliser Price,1995M06,Urea (46% N),Euro per Tonne,203
Fertiliser Price,1995M07,Urea (46% N),Euro per Tonne,202
Fertiliser Price,1995M08,Urea (46% N),Euro per Tonne,203
Fertiliser Price,1995M09,Urea (46% N),Euro per Tonne,203
Fertiliser Price,1995M10,Urea (46% N),Euro per Tonne,203
Fertiliser Price,1995M11,Urea (46% N),Euro per Tonne,207
Fertiliser Price,1995M12,Urea (46% N),Euro per Tonne,215
Fertiliser Price,1996M01,Urea (46% N),Euro per Tonne,216
Fertiliser Price,1996M02,Urea (46% N),Euro per Tonne,219
Fertiliser Price,1996M03,Urea (46% N),Euro per Tonne,218
Fertiliser Price,1996M04,Urea (46% N),Euro per Tonne,218
Fertiliser Price,1996M05,Urea (46% N),Euro per Tonne,218
Fertiliser Price,1996M06,Urea (46% N),Euro per Tonne,218
Fertiliser Price,1996M07,Urea (46% N),Euro per Tonne,217
Fertiliser Price,1996M08,Urea (46% N),Euro per Tonne,216
Fertiliser Price,1996M09,Urea (46% N),Euro per Tonne,214
Fertiliser Price,1996M10,Urea (46% N),Euro per Tonne,214
Fertiliser Price,1996M11,Urea (46% N),Euro per Tonne,214
Fertiliser Price,1996M12,Urea (46% N),Euro per Tonne,213
Fertiliser Price,1997M01,Urea (46% N),Euro per Tonne,211
Fertiliser Price,1997M02,Urea (46% N),Euro per Tonne,209
Fertiliser Price,1997M03,Urea (46% N),Euro per Tonne,207
Fertiliser Price,1997M04,Urea (46% N),Euro per Tonne,207
Fertiliser Price,1997M05,Urea (46% N),Euro per Tonne,207
Fertiliser Price,1997M06,Urea (46% N),Euro per Tonne,207
Fertiliser Price,1997M07,Urea (46% N),Euro per Tonne,205
Fertiliser Price,1997M08,Urea (46% N),Euro per Tonne,203
Fertiliser Price,1997M09,Urea (46% N),Euro per Tonne,203
Fertiliser Price,1997M10,Urea (46% N),Euro per Tonne,202
Fertiliser Price,1997M11,Urea (46% N),Euro per Tonne,202
Fertiliser Price,1997M12,Urea (46% N),Euro per Tonne,202
Fertiliser Price,1998M01,Urea (46% N),Euro per Tonne,197
Fertiliser Price,1998M02,Urea (46% N),Euro per Tonne,193
Fertiliser Price,1998M03,Urea (46% N),Euro per Tonne,193
Fertiliser Price,1998M04,Urea (46% N),Euro per Tonne,192
Fertiliser Price,1998M05,Urea (46% N),Euro per Tonne,191
Fertiliser Price,1998M06,Urea (46% N),Euro per Tonne,191
Fertiliser Price,1998M07,Urea (46% N),Euro per Tonne,191
Fertiliser Price,1998M08,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1998M09,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1998M10,Urea (46% N),Euro per Tonne,190
