Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1985M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,182
Fertiliser Price,1985M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,176
Fertiliser Price,1985M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,171
Fertiliser Price,1985M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,170
Fertiliser Price,1986M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,170
Fertiliser Price,1986M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,167
Fertiliser Price,1986M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,167
Fertiliser Price,1986M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,165
Fertiliser Price,1986M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,163
Fertiliser Price,1986M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,1986M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,152
Fertiliser Price,1986M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1986M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1986M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1986M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,120
Fertiliser Price,1986M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,119
Fertiliser Price,1987M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,118
Fertiliser Price,1987M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,118
Fertiliser Price,1987M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,120
Fertiliser Price,1987M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,122
Fertiliser Price,1987M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1987M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,125
Fertiliser Price,1987M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,125
Fertiliser Price,1987M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,126
Fertiliser Price,1987M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,128
