Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1986M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1986M11,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,1986M12,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1987M01,Granular Superphosphate (16% P),Euro per Tonne,227
Fertiliser Price,1987M02,Granular Superphosphate (16% P),Euro per Tonne,217
Fertiliser Price,1987M03,Granular Superphosphate (16% P),Euro per Tonne,218
Fertiliser Price,1987M04,Granular Superphosphate (16% P),Euro per Tonne,216
Fertiliser Price,1987M05,Granular Superphosphate (16% P),Euro per Tonne,215
Fertiliser Price,1987M06,Granular Superphosphate (16% P),Euro per Tonne,215
Fertiliser Price,1987M07,Granular Superphosphate (16% P),Euro per Tonne,217
Fertiliser Price,1987M08,Granular Superphosphate (16% P),Euro per Tonne,216
Fertiliser Price,1987M09,Granular Superphosphate (16% P),Euro per Tonne,220
Fertiliser Price,1987M10,Granular Superphosphate (16% P),Euro per Tonne,224
Fertiliser Price,1987M11,Granular Superphosphate (16% P),Euro per Tonne,226
Fertiliser Price,1987M12,Granular Superphosphate (16% P),Euro per Tonne,226
Fertiliser Price,1988M01,Granular Superphosphate (16% P),Euro per Tonne,228
Fertiliser Price,1988M02,Granular Superphosphate (16% P),Euro per Tonne,231
Fertiliser Price,1988M03,Granular Superphosphate (16% P),Euro per Tonne,232
Fertiliser Price,1988M04,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1988M05,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1988M06,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1988M07,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1988M08,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1988M09,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1988M10,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1988M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1988M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1989M07,Granular Superphosphate (16% P),Euro per Tonne,251
Fertiliser Price,1989M08,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1989M09,Granular Superphosphate (16% P),Euro per Tonne,254
Fertiliser Price,1989M10,Granular Superphosphate (16% P),Euro per Tonne,254
Fertiliser Price,1989M11,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1989M12,Granular Superphosphate (16% P),Euro per Tonne,251
Fertiliser Price,1990M01,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1990M02,Granular Superphosphate (16% P),Euro per Tonne,248
Fertiliser Price,1990M03,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1990M04,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1990M05,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1990M06,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1990M07,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1990M08,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1990M09,Granular Superphosphate (16% P),Euro per Tonne,246
Fertiliser Price,1990M10,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1990M11,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1990M12,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1991M01,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1991M02,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1991M03,Granular Superphosphate (16% P),Euro per Tonne,242
Fertiliser Price,1991M04,Granular Superphosphate (16% P),Euro per Tonne,242
Fertiliser Price,1991M05,Granular Superphosphate (16% P),Euro per Tonne,242
Fertiliser Price,1991M06,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1991M07,Granular Superphosphate (16% P),Euro per Tonne,239
Fertiliser Price,1991M08,Granular Superphosphate (16% P),Euro per Tonne,239
Fertiliser Price,1991M09,Granular Superphosphate (16% P),Euro per Tonne,237
Fertiliser Price,1991M10,Granular Superphosphate (16% P),Euro per Tonne,239
Fertiliser Price,1991M11,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1991M12,Granular Superphosphate (16% P),Euro per Tonne,239
Fertiliser Price,1992M01,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1992M02,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1992M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1992M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1992M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1992M06,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1992M07,Granular Superphosphate (16% P),Euro per Tonne,238
Fertiliser Price,1992M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1992M09,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1992M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1992M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1992M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M04,Granular Superphosphate (16% P),Euro per Tonne,232
Fertiliser Price,1993M05,Granular Superphosphate (16% P),Euro per Tonne,230
Fertiliser Price,1993M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M07,Granular Superphosphate (16% P),Euro per Tonne,230
Fertiliser Price,1993M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1993M11,Granular Superphosphate (16% P),Euro per Tonne,234
Fertiliser Price,1993M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1994M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1994M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1994M03,Granular Superphosphate (16% P),Euro per Tonne,239
Fertiliser Price,1994M04,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1994M05,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1994M06,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1994M07,Granular Superphosphate (16% P),Euro per Tonne,237
Fertiliser Price,1994M08,Granular Superphosphate (16% P),Euro per Tonne,237
Fertiliser Price,1994M09,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1994M10,Granular Superphosphate (16% P),Euro per Tonne,234
