timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-05-12 10:17:18+00:00,"b'For #reuse to become the norm, we need a cap on single-use plastics, an introduction of binding reuse targets and economic incentives to support the transition per product category.  \xf0\x9f\x93\x9dRead our policy recommendations here: https://t.co/0oBFJp1Zt5 #getback #wechoosereuse https://t.co/CFKds21Epw'",b'zerowasteeurope',"['reuse', 'getback', 'wechoosereuse']",Brussels,22311,4,9
2022-05-12 10:14:43+00:00,"b'@varbmos @xDreamCoding @ValueAnalyst1 Toyota had a bad Q1, and ""only"" made ~$4.1bn (533 billion yen)  You know that VW and BMW each made &gt;$6bn profit in Q1?  You could buy all three of those companies for less than half of Tesla\'s market cap. VW is the undisputed BEV leader in Europe too.'",b'SpeedflyChris',[],"Glasgow, Scotland",81,0,0
2022-05-12 10:07:35+00:00,b'\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x9b\xb0\xef\xb8\x8f\xf0\x9f\x9a\x9cSerco Europe has won its first Space contract in #France to support the French public authority Service and Payment Agency\xe2\x80\x99s (ASP) work for the Common #Agriculture Policy (CAP).  Read more about this innovative service #SercoinSpace\xe2\xac\x87\xef\xb8\x8f: https://t.co/DfPwrI7a1z',b'Serco_Europe',"['France', 'Agriculture', 'SercoinSpace']","Brussels, Belgium",941,1,2
2022-05-12 09:55:41+00:00,b'Our Aberdeen Champions of Europe #commemorative #cap is available to buy from https://t.co/SY9HwVKG5b   \xc2\xa339.98 delivered \xe2\xa0\x80 #sportingmemoriesmemorabilia #football #memorabilia #aberdeen #afc #aberdeenfc #dons #pittodrie #siralexferguson https://t.co/uHK1UqvsNj',b'SM_Memorabilia',"['commemorative', 'cap', 'sportingmemoriesmemorabilia', 'football', 'memorabilia', 'aberdeen', 'afc', 'aberdeenfc', 'dons', 'pittodrie', 'siralexferguson']","Glasgow, Scotland",376,0,0
2022-05-12 09:45:27+00:00,b'I LOVE the #RepublicofMoldova entry for #EUROVISION  About the train that once ran btw Chisinau (cap. Moldova) + Bucharest. A love note to Romania in a fusion of folk + rock in a train you can only find in East Europe.\xf0\x9f\x87\xb2\xf0\x9f\x87\xa9\xe2\x9d\xa4\xef\xb8\x8f More on @JeremyVineOn5  tomorrow https://t.co/0UyqkNaygb',b'Tessadunlop',"['RepublicofMoldova', 'EUROVISION']",London mainly,11212,3,18
2022-05-12 09:30:34+00:00,"b'@BarbaraSutton15 He knows the UK is no longer taken seriously and running out of international friends, especially in Europe, so he\xe2\x80\x99s having to go cap I hand and \xe2\x80\x98buy\xe2\x80\x99 his friends back'",b'GlynWashington1',[],Ossett UK and Brittany France,255,0,3
2022-05-12 08:53:19+00:00,b'@W00dy59 @TalkTV @GBNEWS As we don\xe2\x80\x99t have a Labour govt don\xe2\x80\x99t worry about it. Due to Brexit and a Tory govt there will be no energy cap like Europe has. As history shows the Tory\xe2\x80\x99s always look after their own ( the rich)',b'jameson4_david',[],United Kingdom,601,0,0
2022-05-12 08:48:03+00:00,b'boris johnson energy price cap pampers nappies cost of\xc2\xa0living https://t.co/sojeYSoek3',b'NzuchiTimesUSA',[],USA,575,0,0
2022-05-12 08:40:17+00:00,b'@Nator1987 @Savechip55 @GretnaServices @raymo04 @sportingintel They were top tier prior to the breach. The squad was essentially disbanded but they remained at the level and continue to do so because of the way the club is run and their culture.   A cap would ruin English footballs ability to compete in Europe and At international level.',b'BNunweek',[],,123,0,0
2022-05-12 08:05:35+00:00,"b'I can\xe2\x80\x99t see it from the train but about now we are passing Cap d\xe2\x80\x99Agde, Europe\xe2\x80\x99s largest nudist vacation destination. https://t.co/CVogExMHtV'",b'andrew_randall',[],"Berkeley, CA and Berlin, DE",2405,0,3
2022-05-12 07:05:01+00:00,"b'Pantheon also points out the energy price cap temporarily shielded UK households from the surge in enegry bills in Feb and March. On mainland Europe, full impact was felt immediately.'",b'ITVJoel',[],,36988,0,1
2022-05-12 06:11:16+00:00,"b'Having surpassed half a billion Euros, it\xe2\x80\x99s not surprising that #PSG \xe2\x82\xac503m wage bill is now the highest in Europe, ahead of Barcelona \xe2\x82\xac432m (before La Liga salary cap applied), #MCFC \xe2\x82\xac401m, #CFC \xe2\x82\xac376m, Bayern Munich \xe2\x82\xac373m, Real Madrid \xe2\x82\xac372m, #MUFC \xe2\x82\xac364m and #LFC \xe2\x82\xac355m. https://t.co/xtLI9xF5Tn'",b'SwissRamble',"['PSG', 'MCFC', 'CFC', 'MUFC', 'LFC']","Zurich, Switzerland",204617,5,7
2022-05-12 06:01:00+00:00,"b""Good Morning Europe &amp; Africa!  With a market cap of $1.169T, we are down -18.8% over the past 24h. Wagging it's tail between $26,781-$32,090 #BTC is now at $27,096 with a dominance of 44.1%.  A Fear &amp; Greed Index of 12 shows the market is extremely fearful.""",b'CoinFoxOfficial',['BTC'],Just around the #block,6,0,0
2022-05-12 05:02:31+00:00,"b'@LozzieDuff @andersostlund Concerning navel power... global warming, the melting of the ice cap, will present new challenges to Northern Europe. When passage from the Pacific to the N Atlantic will be poss via N Russia &amp; N Russ ports no longer ice bound in winter.  Norway becomes front line, not fringe'",b'Ceebee96447343',[],Northants,36,0,0
2022-05-12 03:59:21+00:00,b'@krdknight Stop spending money.   Reduce regulation to drive down costs.  Open up oil drilling permits.  Restart keystone pipeline.  Open up crp acres for grazing   Cap unemployment benefits to drive people back to work.  Ease immigration for high skilled immigrants from Europe pres resign',b'patriotGBR',[],,37,0,0
2022-05-11 22:49:34+00:00,"b'@CIS_org hacked?  Same org opposes per-country cap removal and denigrates Indian immigrants in #GCbacklog as cheap labor.  ""By contrast, immigrants educated in Western Europe, Australia, and India earn roughly the same salaries as comparable U.S. natives""  https://t.co/tHGUisLMHz'",b'ShadesOfBlueAn1',['GCbacklog'],,1426,5,6
2022-05-11 22:04:30+00:00,b'@Hardikc1998 @Rl9rl92 @BarcaUniversal @gerardromero Do u also realize that the negative salary cap was much better than it was last year when laporta came in?  Every team in Europe made losses but ours was worse cos we had a huge debt hanging over our heads.',b'Trixtian_',[],around the world,222,0,0
2022-05-11 21:53:21+00:00,"b'@SadiqKhan @PlugandPlayTC London is the like 70-80s NY. The crime cap of Europe , failed mayor and a woke embarrassing mess. He lives in a bubble \xf0\x9f\xab\xa7 and hates the UK. You will never lead as you can\xe2\x80\x99t even manage London \xf0\x9f\x98\x82 crime up, kid murder up, drugs up, woke crap up.'",b'velivel_ukstevo',[],,3,0,0
2022-05-11 21:47:31+00:00,"b""@jwojc We all know that this is as suicidal path, both for Earth and the future of farmers and farming. In other words, even if the CAP is not a food policy, perhaps it's still worthy to reconsider the EU's inaction and reduce the support for one of Europe's worst agricultural products?""",b'GuyPeer3',[],,1569,0,5
