timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-04-30 06:32:09+00:00,b'@Grachidex @UkwuezeChinedu Only if you drink milk...  Do you know you can make money through your phone without haggling prices with anyone? Join this class to be among those who will understand this proven steps on how to milk WhatsApp https://t.co/JYPzMuypVO',b'izzy_am01',[],,34,0,1
2022-04-30 06:30:56+00:00,"b""@AOC Explosion of hate crimes? Where? I'm actually asking honestly and not in a condescending manner. FYI, I live in the suburbs of San Antonio, TX. Life hasn't changed much aside from increased gas and milk prices. I do hope the hate crimes subside tho.  Texas Forever! \xf0\x9f\x98\x8e""",b'Philtastic53',[],"San Antonio, Texas",382,0,0
2022-04-30 06:28:32+00:00,b'@praiseakinlami Do you know you can make money through your phone without haggling prices with anyone? Join this class to be among those who will understand this proven steps on how to milk WhatsApp https://t.co/JYPzMuypVO',b'izzy_am01',[],,34,0,1
2022-04-30 03:44:03+00:00,"b""@FoxNews How many of your here who is commenting  can actually look at the Biden agenda so far with the unemployment numbers in the GDP growth everything else that is gone down  yes not forget high gas prices inflation in the cost of milk being that's on Corporation not the president""",b'NiteStalker714',[],IamaDragonwereibiswereilive,81,0,0
2022-04-30 02:38:31+00:00,"b""Eggs, milk prices remain high as farmers await state's GMO approvals https://t.co/eBXK6BsDBZ""",b'GenEngNetwork',[],Est Jan 1997 to fight GMO's,5009,1,0
2022-04-30 01:56:25+00:00,b'Milk prices to drop soon.  The New KCC managing director Nixon Sigey forecasts milk supply will improve in a fortnight following good rains in most of the milk-producing zones in the country with increased production expected to tame the current high prices.',b'MagufuliMugabe',[],Vietnam,27127,0,1
2022-04-30 01:52:53+00:00,"b""@RpsAgainstTrump No problem really but some higher prices. My trumper bro-in-law was trying to rebut me about it but he couldn't name a single staple in short supply. Just some lo-carb milk he buys. A few oddball things. Empty shelves=lie.""",b'gadruggist',[],"Atlanta, GA",372,0,0
2022-04-30 01:36:42+00:00,"b""@JoeBiden Man we about to go broke if prices stay so high and our paychecks stay the same. Every politician, including the President, needs to know how much eggs, bread and milk cost. It's hard out here right now.""",b'Jenjenmintz',[],,27,1,32
2022-04-30 00:26:37+00:00,"b'Food prices received by farmers up 31% year-on-year. 50% in milk, 68% in veggies, 76% in poultry and eggs. Surely just a transitory doubling.  https://t.co/XtZ0Licv6c'",b'profstonge',[],,8318,1,6
2022-04-30 00:17:48+00:00,"b'@GeraldoRivera The price of a barrel of oil is set in the market place by supply and demand. Oil companies don\xe2\x80\x99t set the price . Cost of refining, delivery etc going up too. Is Big Dairy and Big Bread artificially raising prices of milk and bread then?'",b'Steve3449',[],Show Me,158,1,14
2022-04-29 23:49:02+00:00,"b""@StevenDelDuca @OntLiberal @CATALDIFRESH With skyrocketing grocery prices people can barely get bread, milk and eggs for under $20, let alone 'prepared food'""",b'BarbaraBierman',[],"Cambridge, Ontario",495,0,9
