Statistic,Month,Consumer Item,UNIT,VALUE
National Average Price,2020M03,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020M04,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020M05,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020M06,Full fat milk per 2 litre,Euro,1.687
National Average Price,2020M07,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020M08,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020M09,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020M10,Full fat milk per 2 litre,Euro,1.687
National Average Price,2020M11,Full fat milk per 2 litre,Euro,1.687
National Average Price,2020M12,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M01,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M02,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M03,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M04,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M05,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M06,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021M07,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021M08,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021M09,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021M10,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021M11,Full fat milk per 2 litre,Euro,1.688
National Average Price,2021M12,Full fat milk per 2 litre,Euro,1.691
National Average Price,2022M01,Full fat milk per 2 litre,Euro,1.732
National Average Price,2022M02,Full fat milk per 2 litre,Euro,1.794
