Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1976M01,Heifers 300-349kg,Euro,220.2
Cattle Price per Head,1976M02,Heifers 300-349kg,Euro,215.39
Cattle Price per Head,1976M03,Heifers 300-349kg,Euro,236.2
Cattle Price per Head,1976M04,Heifers 300-349kg,Euro,239.51
Cattle Price per Head,1976M05,Heifers 300-349kg,Euro,260.88
Cattle Price per Head,1976M06,Heifers 300-349kg,Euro,272
Cattle Price per Head,1976M07,Heifers 300-349kg,Euro,269.02
Cattle Price per Head,1976M08,Heifers 300-349kg,Euro,261.08
Cattle Price per Head,1976M09,Heifers 300-349kg,Euro,258.38
Cattle Price per Head,1976M10,Heifers 300-349kg,Euro,242.38
Cattle Price per Head,1976M11,Heifers 300-349kg,Euro,239.1
Cattle Price per Head,1976M12,Heifers 300-349kg,Euro,226.33
Cattle Price per Head,1977M01,Heifers 300-349kg,Euro,215.37
Cattle Price per Head,1977M02,Heifers 300-349kg,Euro,228.65
Cattle Price per Head,1977M03,Heifers 300-349kg,Euro,249.96
Cattle Price per Head,1977M04,Heifers 300-349kg,Euro,275.15
Cattle Price per Head,1977M05,Heifers 300-349kg,Euro,291.01
Cattle Price per Head,1977M06,Heifers 300-349kg,Euro,303.26
Cattle Price per Head,1977M07,Heifers 300-349kg,Euro,310.81
Cattle Price per Head,1977M08,Heifers 300-349kg,Euro,297.56
Cattle Price per Head,1977M09,Heifers 300-349kg,Euro,287.68
Cattle Price per Head,1977M10,Heifers 300-349kg,Euro,282.24
Cattle Price per Head,1977M11,Heifers 300-349kg,Euro,285.88
Cattle Price per Head,1977M12,Heifers 300-349kg,Euro,283.7
Cattle Price per Head,1978M01,Heifers 300-349kg,Euro,295.28
Cattle Price per Head,1978M02,Heifers 300-349kg,Euro,290.58
Cattle Price per Head,1978M03,Heifers 300-349kg,Euro,322.22
Cattle Price per Head,1978M04,Heifers 300-349kg,Euro,330.55
Cattle Price per Head,1978M05,Heifers 300-349kg,Euro,347.82
Cattle Price per Head,1978M06,Heifers 300-349kg,Euro,352.42
Cattle Price per Head,1978M07,Heifers 300-349kg,Euro,385.68
Cattle Price per Head,1978M08,Heifers 300-349kg,Euro,364.17
Cattle Price per Head,1978M09,Heifers 300-349kg,Euro,325.79
Cattle Price per Head,1978M10,Heifers 300-349kg,Euro,311.34
Cattle Price per Head,1978M11,Heifers 300-349kg,Euro,286.48
Cattle Price per Head,1978M12,Heifers 300-349kg,Euro,282.34
Cattle Price per Head,1979M01,Heifers 300-349kg,Euro,261.34
Cattle Price per Head,1979M02,Heifers 300-349kg,Euro,266.4
Cattle Price per Head,1979M03,Heifers 300-349kg,Euro,279
Cattle Price per Head,1979M04,Heifers 300-349kg,Euro,285.09
Cattle Price per Head,1979M05,Heifers 300-349kg,Euro,312.39
Cattle Price per Head,1979M06,Heifers 300-349kg,Euro,327.39
Cattle Price per Head,1979M07,Heifers 300-349kg,Euro,309.74
Cattle Price per Head,1979M08,Heifers 300-349kg,Euro,308.05
Cattle Price per Head,1979M09,Heifers 300-349kg,Euro,286.36
Cattle Price per Head,1979M10,Heifers 300-349kg,Euro,270.77
Cattle Price per Head,1979M11,Heifers 300-349kg,Euro,280.08
Cattle Price per Head,1979M12,Heifers 300-349kg,Euro,268.84
Cattle Price per Head,1980M01,Heifers 300-349kg,Euro,280.03
Cattle Price per Head,1980M02,Heifers 300-349kg,Euro,297.44
Cattle Price per Head,1980M03,Heifers 300-349kg,Euro,352.66
Cattle Price per Head,1980M04,Heifers 300-349kg,Euro,357.79
Cattle Price per Head,1980M05,Heifers 300-349kg,Euro,375.09
Cattle Price per Head,1980M06,Heifers 300-349kg,Euro,402.27
Cattle Price per Head,1980M07,Heifers 300-349kg,Euro,377.59
Cattle Price per Head,1980M08,Heifers 300-349kg,Euro,356.52
Cattle Price per Head,1980M09,Heifers 300-349kg,Euro,372.36
Cattle Price per Head,1980M10,Heifers 300-349kg,Euro,381.84
Cattle Price per Head,1980M11,Heifers 300-349kg,Euro,366.18
Cattle Price per Head,1980M12,Heifers 300-349kg,Euro,365.56
Cattle Price per Head,1981M01,Heifers 300-349kg,Euro,377.15
Cattle Price per Head,1981M02,Heifers 300-349kg,Euro,402.09
Cattle Price per Head,1981M03,Heifers 300-349kg,Euro,425.17
Cattle Price per Head,1981M04,Heifers 300-349kg,Euro,425.44
Cattle Price per Head,1981M05,Heifers 300-349kg,Euro,438.22
Cattle Price per Head,1981M06,Heifers 300-349kg,Euro,446.31
Cattle Price per Head,1981M07,Heifers 300-349kg,Euro,433.09
Cattle Price per Head,1981M08,Heifers 300-349kg,Euro,430.94
