Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1981M09,Heifers 300-349kg,Euro,411.43
Cattle Price per Head,1981M10,Heifers 300-349kg,Euro,408.25
Cattle Price per Head,1981M11,Heifers 300-349kg,Euro,401.8
Cattle Price per Head,1981M12,Heifers 300-349kg,Euro,394.39
Cattle Price per Head,1982M01,Heifers 300-349kg,Euro,390.83
Cattle Price per Head,1982M02,Heifers 300-349kg,Euro,381.92
Cattle Price per Head,1982M03,Heifers 300-349kg,Euro,413.46
Cattle Price per Head,1982M04,Heifers 300-349kg,Euro,412.99
Cattle Price per Head,1982M05,Heifers 300-349kg,Euro,435.04
Cattle Price per Head,1982M06,Heifers 300-349kg,Euro,433.76
Cattle Price per Head,1982M07,Heifers 300-349kg,Euro,439.98
Cattle Price per Head,1982M08,Heifers 300-349kg,Euro,439.55
Cattle Price per Head,1982M09,Heifers 300-349kg,Euro,419.93
Cattle Price per Head,1982M10,Heifers 300-349kg,Euro,410.68
Cattle Price per Head,1982M11,Heifers 300-349kg,Euro,404.86
Cattle Price per Head,1982M12,Heifers 300-349kg,Euro,384.17
Cattle Price per Head,1983M01,Heifers 300-349kg,Euro,388.11
Cattle Price per Head,1983M02,Heifers 300-349kg,Euro,394.85
Cattle Price per Head,1983M03,Heifers 300-349kg,Euro,412.46
Cattle Price per Head,1983M04,Heifers 300-349kg,Euro,434.09
Cattle Price per Head,1983M05,Heifers 300-349kg,Euro,467.05
Cattle Price per Head,1983M06,Heifers 300-349kg,Euro,475.48
Cattle Price per Head,1983M07,Heifers 300-349kg,Euro,480.39
Cattle Price per Head,1983M08,Heifers 300-349kg,Euro,443.66
Cattle Price per Head,1983M09,Heifers 300-349kg,Euro,421.87
Cattle Price per Head,1983M10,Heifers 300-349kg,Euro,423.23
Cattle Price per Head,1983M11,Heifers 300-349kg,Euro,405.72
Cattle Price per Head,1983M12,Heifers 300-349kg,Euro,403.26
Cattle Price per Head,1984M01,Heifers 300-349kg,Euro,402.95
Cattle Price per Head,1984M02,Heifers 300-349kg,Euro,421.64
Cattle Price per Head,1984M03,Heifers 300-349kg,Euro,452.13
Cattle Price per Head,1984M04,Heifers 300-349kg,Euro,445.11
Cattle Price per Head,1984M05,Heifers 300-349kg,Euro,467.05
Cattle Price per Head,1984M06,Heifers 300-349kg,Euro,482.58
Cattle Price per Head,1984M07,Heifers 300-349kg,Euro,470.74
Cattle Price per Head,1984M08,Heifers 300-349kg,Euro,450.71
Cattle Price per Head,1984M09,Heifers 300-349kg,Euro,439.52
Cattle Price per Head,1984M10,Heifers 300-349kg,Euro,409.01
Cattle Price per Head,1984M11,Heifers 300-349kg,Euro,386.05
Cattle Price per Head,1984M12,Heifers 300-349kg,Euro,397.2
Cattle Price per Head,1985M01,Heifers 300-349kg,Euro,406.79
Cattle Price per Head,1985M02,Heifers 300-349kg,Euro,406.93
Cattle Price per Head,1985M03,Heifers 300-349kg,Euro,428.09
Cattle Price per Head,1985M04,Heifers 300-349kg,Euro,433.07
Cattle Price per Head,1985M05,Heifers 300-349kg,Euro,457.68
Cattle Price per Head,1985M06,Heifers 300-349kg,Euro,448.19
Cattle Price per Head,1985M07,Heifers 300-349kg,Euro,450.35
Cattle Price per Head,1985M08,Heifers 300-349kg,Euro,428.68
Cattle Price per Head,1985M09,Heifers 300-349kg,Euro,426.67
Cattle Price per Head,1985M10,Heifers 300-349kg,Euro,398.9
Cattle Price per Head,1985M11,Heifers 300-349kg,Euro,380.95
Cattle Price per Head,1985M12,Heifers 300-349kg,Euro,387.37
Cattle Price per Head,1986M01,Heifers 300-349kg,Euro,390.16
Cattle Price per Head,1986M02,Heifers 300-349kg,Euro,399.03
Cattle Price per Head,1986M03,Heifers 300-349kg,Euro,433.21
Cattle Price per Head,1986M04,Heifers 300-349kg,Euro,431.05
Cattle Price per Head,1986M05,Heifers 300-349kg,Euro,456.53
Cattle Price per Head,1986M06,Heifers 300-349kg,Euro,463.89
Cattle Price per Head,1986M07,Heifers 300-349kg,Euro,473.69
Cattle Price per Head,1986M08,Heifers 300-349kg,Euro,454.21
Cattle Price per Head,1986M09,Heifers 300-349kg,Euro,459.06
Cattle Price per Head,1986M10,Heifers 300-349kg,Euro,467.29
Cattle Price per Head,1986M11,Heifers 300-349kg,Euro,442.43
Cattle Price per Head,1986M12,Heifers 300-349kg,Euro,439.79
Cattle Price per Head,1987M01,Heifers 300-349kg,Euro,445.17
Cattle Price per Head,1987M02,Heifers 300-349kg,Euro,461.77
Cattle Price per Head,1987M03,Heifers 300-349kg,Euro,508.28
Cattle Price per Head,1987M04,Heifers 300-349kg,Euro,539.94
Cattle Price per Head,1987M05,Heifers 300-349kg,Euro,565.91
Cattle Price per Head,1987M06,Heifers 300-349kg,Euro,599.02
Cattle Price per Head,1987M07,Heifers 300-349kg,Euro,605.17
Cattle Price per Head,1987M08,Heifers 300-349kg,Euro,603.4
Cattle Price per Head,1987M09,Heifers 300-349kg,Euro,602.53
Cattle Price per Head,1987M10,Heifers 300-349kg,Euro,591.25
Cattle Price per Head,1987M11,Heifers 300-349kg,Euro,560.73
Cattle Price per Head,1987M12,Heifers 300-349kg,Euro,551.61
Cattle Price per Head,1988M01,Heifers 300-349kg,Euro,567.12
Cattle Price per Head,1988M02,Heifers 300-349kg,Euro,567.46
Cattle Price per Head,1988M03,Heifers 300-349kg,Euro,596.95
Cattle Price per Head,1988M04,Heifers 300-349kg,Euro,606.33
Cattle Price per Head,1988M05,Heifers 300-349kg,Euro,619.92
Cattle Price per Head,1988M06,Heifers 300-349kg,Euro,625.83
Cattle Price per Head,1988M07,Heifers 300-349kg,Euro,637.59
Cattle Price per Head,1988M08,Heifers 300-349kg,Euro,621.9
Cattle Price per Head,1988M09,Heifers 300-349kg,Euro,559.07
Cattle Price per Head,1988M10,Heifers 300-349kg,Euro,532.85
Cattle Price per Head,1988M11,Heifers 300-349kg,Euro,520.2
Cattle Price per Head,1988M12,Heifers 300-349kg,Euro,507.58
Cattle Price per Head,1989M01,Heifers 300-349kg,Euro,488.09
Cattle Price per Head,1989M02,Heifers 300-349kg,Euro,476.71
Cattle Price per Head,1989M03,Heifers 300-349kg,Euro,484.15
Cattle Price per Head,1989M04,Heifers 300-349kg,Euro,505.84
Cattle Price per Head,1989M05,Heifers 300-349kg,Euro,547.92
Cattle Price per Head,1989M06,Heifers 300-349kg,Euro,554.11
Cattle Price per Head,1989M07,Heifers 300-349kg,Euro,526.55
Cattle Price per Head,1989M08,Heifers 300-349kg,Euro,484.07
Cattle Price per Head,1989M09,Heifers 300-349kg,Euro,450.92
Cattle Price per Head,1989M10,Heifers 300-349kg,Euro,443.13
Cattle Price per Head,1989M11,Heifers 300-349kg,Euro,446.25
Cattle Price per Head,1989M12,Heifers 300-349kg,Euro,449.58
Cattle Price per Head,1990M01,Heifers 300-349kg,Euro,444.33
Cattle Price per Head,1990M02,Heifers 300-349kg,Euro,440.95
Cattle Price per Head,1990M03,Heifers 300-349kg,Euro,452.15
Cattle Price per Head,1990M04,Heifers 300-349kg,Euro,461.22
Cattle Price per Head,1990M05,Heifers 300-349kg,Euro,456.28
Cattle Price per Head,1990M06,Heifers 300-349kg,Euro,456.24
Cattle Price per Head,1990M07,Heifers 300-349kg,Euro,461.19
Cattle Price per Head,1990M08,Heifers 300-349kg,Euro,440.5
Cattle Price per Head,1990M09,Heifers 300-349kg,Euro,431.46
Cattle Price per Head,1990M10,Heifers 300-349kg,Euro,436.33
Cattle Price per Head,1990M11,Heifers 300-349kg,Euro,436.16
Cattle Price per Head,1990M12,Heifers 300-349kg,Euro,431.52
Cattle Price per Head,1991M01,Heifers 300-349kg,Euro,440.15
Cattle Price per Head,1991M02,Heifers 300-349kg,Euro,434.45
Cattle Price per Head,1991M03,Heifers 300-349kg,Euro,449.88
Cattle Price per Head,1991M04,Heifers 300-349kg,Euro,453.66
Cattle Price per Head,1991M05,Heifers 300-349kg,Euro,454.4
Cattle Price per Head,1991M06,Heifers 300-349kg,Euro,460.32
Cattle Price per Head,1991M07,Heifers 300-349kg,Euro,458.63
Cattle Price per Head,1991M08,Heifers 300-349kg,Euro,452.1
Cattle Price per Head,1991M09,Heifers 300-349kg,Euro,443.84
Cattle Price per Head,1991M10,Heifers 300-349kg,Euro,449.98
Cattle Price per Head,1991M11,Heifers 300-349kg,Euro,435.53
Cattle Price per Head,1991M12,Heifers 300-349kg,Euro,440.28
Cattle Price per Head,1992M01,Heifers 300-349kg,Euro,437.36
Cattle Price per Head,1992M02,Heifers 300-349kg,Euro,435
Cattle Price per Head,1992M03,Heifers 300-349kg,Euro,447.19
Cattle Price per Head,1992M04,Heifers 300-349kg,Euro,472.3
Cattle Price per Head,1992M05,Heifers 300-349kg,Euro,510.47
Cattle Price per Head,1992M06,Heifers 300-349kg,Euro,503.86
Cattle Price per Head,1992M07,Heifers 300-349kg,Euro,517.32
Cattle Price per Head,1992M08,Heifers 300-349kg,Euro,510.46
Cattle Price per Head,1992M09,Heifers 300-349kg,Euro,498.5
Cattle Price per Head,1992M10,Heifers 300-349kg,Euro,486.16
Cattle Price per Head,1992M11,Heifers 300-349kg,Euro,467.48
Cattle Price per Head,1992M12,Heifers 300-349kg,Euro,462.07
Cattle Price per Head,1993M01,Heifers 300-349kg,Euro,480.09
Cattle Price per Head,1993M02,Heifers 300-349kg,Euro,495.16
Cattle Price per Head,1993M03,Heifers 300-349kg,Euro,532.55
Cattle Price per Head,1993M04,Heifers 300-349kg,Euro,545.38
Cattle Price per Head,1993M05,Heifers 300-349kg,Euro,565.15
Cattle Price per Head,1993M06,Heifers 300-349kg,Euro,559.4
Cattle Price per Head,1993M07,Heifers 300-349kg,Euro,571.37
Cattle Price per Head,1993M08,Heifers 300-349kg,Euro,524.36
Cattle Price per Head,1993M09,Heifers 300-349kg,Euro,524.21
Cattle Price per Head,1993M10,Heifers 300-349kg,Euro,506.41
Cattle Price per Head,1993M11,Heifers 300-349kg,Euro,481.31
Cattle Price per Head,1993M12,Heifers 300-349kg,Euro,470.55
Cattle Price per Head,1994M01,Heifers 300-349kg,Euro,474.23
Cattle Price per Head,1994M02,Heifers 300-349kg,Euro,467.59
Cattle Price per Head,1994M03,Heifers 300-349kg,Euro,489.87
Cattle Price per Head,1994M04,Heifers 300-349kg,Euro,505.21
Cattle Price per Head,1994M05,Heifers 300-349kg,Euro,526.11
Cattle Price per Head,1994M06,Heifers 300-349kg,Euro,538.45
Cattle Price per Head,1994M07,Heifers 300-349kg,Euro,523.82
Cattle Price per Head,1994M08,Heifers 300-349kg,Euro,511
Cattle Price per Head,1994M09,Heifers 300-349kg,Euro,484.47
Cattle Price per Head,1994M10,Heifers 300-349kg,Euro,488.38
Cattle Price per Head,1994M11,Heifers 300-349kg,Euro,462.05
Cattle Price per Head,1994M12,Heifers 300-349kg,Euro,466.22
Cattle Price per Head,1995M01,Heifers 300-349kg,Euro,472.33
Cattle Price per Head,1995M02,Heifers 300-349kg,Euro,459.33
Cattle Price per Head,1995M03,Heifers 300-349kg,Euro,474.09
Cattle Price per Head,1995M04,Heifers 300-349kg,Euro,500.45
Cattle Price per Head,1995M05,Heifers 300-349kg,Euro,501.48
Cattle Price per Head,1995M06,Heifers 300-349kg,Euro,483.55
Cattle Price per Head,1995M07,Heifers 300-349kg,Euro,468.46
Cattle Price per Head,1995M08,Heifers 300-349kg,Euro,452.76
Cattle Price per Head,1995M09,Heifers 300-349kg,Euro,412.94
Cattle Price per Head,1995M10,Heifers 300-349kg,Euro,385.69
Cattle Price per Head,1995M11,Heifers 300-349kg,Euro,380.1
Cattle Price per Head,1995M12,Heifers 300-349kg,Euro,362.79
Cattle Price per Head,1996M01,Heifers 300-349kg,Euro,405.96
Cattle Price per Head,1996M02,Heifers 300-349kg,Euro,388.79
Cattle Price per Head,1996M03,Heifers 300-349kg,Euro,407.07
Cattle Price per Head,1996M04,Heifers 300-349kg,Euro,405.95
Cattle Price per Head,1996M05,Heifers 300-349kg,Euro,441.26
Cattle Price per Head,1996M06,Heifers 300-349kg,Euro,440.77
Cattle Price per Head,1996M07,Heifers 300-349kg,Euro,435.1
Cattle Price per Head,1996M08,Heifers 300-349kg,Euro,443.8
Cattle Price per Head,1996M09,Heifers 300-349kg,Euro,420.94
Cattle Price per Head,1996M10,Heifers 300-349kg,Euro,416.98
Cattle Price per Head,1996M11,Heifers 300-349kg,Euro,388.77
Cattle Price per Head,1996M12,Heifers 300-349kg,Euro,390.92
Cattle Price per Head,1997M01,Heifers 300-349kg,Euro,384.23
Cattle Price per Head,1997M02,Heifers 300-349kg,Euro,370.56
Cattle Price per Head,1997M03,Heifers 300-349kg,Euro,387.8
Cattle Price per Head,1997M04,Heifers 300-349kg,Euro,403.59
Cattle Price per Head,1997M05,Heifers 300-349kg,Euro,432.44
Cattle Price per Head,1997M06,Heifers 300-349kg,Euro,426.2
Cattle Price per Head,1997M07,Heifers 300-349kg,Euro,406.85
Cattle Price per Head,1997M08,Heifers 300-349kg,Euro,389.56
Cattle Price per Head,1997M09,Heifers 300-349kg,Euro,395.4
Cattle Price per Head,1997M10,Heifers 300-349kg,Euro,374.26
Cattle Price per Head,1997M11,Heifers 300-349kg,Euro,342.65
Cattle Price per Head,1997M12,Heifers 300-349kg,Euro,317.08
Cattle Price per Head,1998M01,Heifers 300-349kg,Euro,330.42
Cattle Price per Head,1998M02,Heifers 300-349kg,Euro,281.64
Cattle Price per Head,1998M03,Heifers 300-349kg,Euro,308.8
Cattle Price per Head,1998M04,Heifers 300-349kg,Euro,327.84
Cattle Price per Head,1998M05,Heifers 300-349kg,Euro,360.06
Cattle Price per Head,1998M06,Heifers 300-349kg,Euro,368.02
Cattle Price per Head,1998M07,Heifers 300-349kg,Euro,339.06
Cattle Price per Head,1998M08,Heifers 300-349kg,Euro,324.95
Cattle Price per Head,1998M09,Heifers 300-349kg,Euro,324.48
Cattle Price per Head,1998M10,Heifers 300-349kg,Euro,318.15
Cattle Price per Head,1998M11,Heifers 300-349kg,Euro,312.22
Cattle Price per Head,1998M12,Heifers 300-349kg,Euro,289.83
Cattle Price per Head,1999M01,Heifers 300-349kg,Euro,324.85
Cattle Price per Head,1999M02,Heifers 300-349kg,Euro,313.14
Cattle Price per Head,1999M03,Heifers 300-349kg,Euro,358.32
Cattle Price per Head,1999M04,Heifers 300-349kg,Euro,388.69
Cattle Price per Head,1999M05,Heifers 300-349kg,Euro,406.51
Cattle Price per Head,1999M06,Heifers 300-349kg,Euro,419.6
Cattle Price per Head,1999M07,Heifers 300-349kg,Euro,436.45
Cattle Price per Head,1999M08,Heifers 300-349kg,Euro,457.26
Cattle Price per Head,1999M09,Heifers 300-349kg,Euro,447.8
Cattle Price per Head,1999M10,Heifers 300-349kg,Euro,447.96
Cattle Price per Head,1999M11,Heifers 300-349kg,Euro,437.67
Cattle Price per Head,1999M12,Heifers 300-349kg,Euro,421.54
Cattle Price per Head,2000M01,Heifers 300-349kg,Euro,399.13
Cattle Price per Head,2000M02,Heifers 300-349kg,Euro,380.69
Cattle Price per Head,2000M03,Heifers 300-349kg,Euro,465.73
Cattle Price per Head,2000M04,Heifers 300-349kg,Euro,413.63
Cattle Price per Head,2000M05,Heifers 300-349kg,Euro,
Cattle Price per Head,2000M06,Heifers 300-349kg,Euro,
Cattle Price per Head,2000M07,Heifers 300-349kg,Euro,
Cattle Price per Head,2000M08,Heifers 300-349kg,Euro,
Cattle Price per Head,2000M09,Heifers 300-349kg,Euro,409.6
Cattle Price per Head,2000M10,Heifers 300-349kg,Euro,383.4
Cattle Price per Head,2000M11,Heifers 300-349kg,Euro,392.82
Cattle Price per Head,2000M12,Heifers 300-349kg,Euro,398.75
Cattle Price per Head,2001M01,Heifers 300-349kg,Euro,410.9
Cattle Price per Head,2001M02,Heifers 300-349kg,Euro,438.88
Cattle Price per Head,2001M03,Heifers 300-349kg,Euro,479.19
Cattle Price per Head,2001M04,Heifers 300-349kg,Euro,471.81
Cattle Price per Head,2001M05,Heifers 300-349kg,Euro,488.64
Cattle Price per Head,2001M06,Heifers 300-349kg,Euro,486.38
Cattle Price per Head,2001M07,Heifers 300-349kg,Euro,467.92
Cattle Price per Head,2001M08,Heifers 300-349kg,Euro,428.63
Cattle Price per Head,2001M09,Heifers 300-349kg,Euro,406.73
Cattle Price per Head,2001M10,Heifers 300-349kg,Euro,398.41
Cattle Price per Head,2001M11,Heifers 300-349kg,Euro,383.97
Cattle Price per Head,2001M12,Heifers 300-349kg,Euro,381.85
Cattle Price per Head,2002M01,Heifers 300-349kg,Euro,390.32
Cattle Price per Head,2002M02,Heifers 300-349kg,Euro,398.31
Cattle Price per Head,2002M03,Heifers 300-349kg,Euro,437.81
Cattle Price per Head,2002M04,Heifers 300-349kg,Euro,455.14
Cattle Price per Head,2002M05,Heifers 300-349kg,Euro,440.45
Cattle Price per Head,2002M06,Heifers 300-349kg,Euro,467.65
Cattle Price per Head,2002M07,Heifers 300-349kg,Euro,442.41
Cattle Price per Head,2002M08,Heifers 300-349kg,Euro,448.89
Cattle Price per Head,2002M09,Heifers 300-349kg,Euro,452.85
Cattle Price per Head,2002M10,Heifers 300-349kg,Euro,449.08
Cattle Price per Head,2002M11,Heifers 300-349kg,Euro,423.91
Cattle Price per Head,2002M12,Heifers 300-349kg,Euro,418.16
Cattle Price per Head,2003M01,Heifers 300-349kg,Euro,419.68
Cattle Price per Head,2003M02,Heifers 300-349kg,Euro,447.59
Cattle Price per Head,2003M03,Heifers 300-349kg,Euro,480.28
Cattle Price per Head,2003M04,Heifers 300-349kg,Euro,503.82
Cattle Price per Head,2003M05,Heifers 300-349kg,Euro,516.9
Cattle Price per Head,2003M06,Heifers 300-349kg,Euro,530.23
Cattle Price per Head,2003M07,Heifers 300-349kg,Euro,536.07
Cattle Price per Head,2003M08,Heifers 300-349kg,Euro,543.73
Cattle Price per Head,2003M09,Heifers 300-349kg,Euro,500.83
Cattle Price per Head,2003M10,Heifers 300-349kg,Euro,490.4
Cattle Price per Head,2003M11,Heifers 300-349kg,Euro,472.55
Cattle Price per Head,2003M12,Heifers 300-349kg,Euro,442.12
Cattle Price per Head,2004M01,Heifers 300-349kg,Euro,448.25
Cattle Price per Head,2004M02,Heifers 300-349kg,Euro,448.54
Cattle Price per Head,2004M03,Heifers 300-349kg,Euro,510.57
Cattle Price per Head,2004M04,Heifers 300-349kg,Euro,526.67
Cattle Price per Head,2004M05,Heifers 300-349kg,Euro,530.54
Cattle Price per Head,2004M06,Heifers 300-349kg,Euro,528.61
Cattle Price per Head,2004M07,Heifers 300-349kg,Euro,504.48
Cattle Price per Head,2004M08,Heifers 300-349kg,Euro,511.83
Cattle Price per Head,2004M09,Heifers 300-349kg,Euro,476.62
Cattle Price per Head,2004M10,Heifers 300-349kg,Euro,449.99
Cattle Price per Head,2004M11,Heifers 300-349kg,Euro,445.4
Cattle Price per Head,2004M12,Heifers 300-349kg,Euro,446.62
Cattle Price per Head,2005M01,Heifers 300-349kg,Euro,440.73
Cattle Price per Head,2005M02,Heifers 300-349kg,Euro,440.5
Cattle Price per Head,2005M03,Heifers 300-349kg,Euro,483.17
Cattle Price per Head,2005M04,Heifers 300-349kg,Euro,511.17
Cattle Price per Head,2005M05,Heifers 300-349kg,Euro,523.86
Cattle Price per Head,2005M06,Heifers 300-349kg,Euro,514.63
Cattle Price per Head,2005M07,Heifers 300-349kg,Euro,517.61
Cattle Price per Head,2005M08,Heifers 300-349kg,Euro,488.93
Cattle Price per Head,2005M09,Heifers 300-349kg,Euro,463.38
Cattle Price per Head,2005M10,Heifers 300-349kg,Euro,464.84
Cattle Price per Head,2005M11,Heifers 300-349kg,Euro,479.06
Cattle Price per Head,2005M12,Heifers 300-349kg,Euro,487.26
Cattle Price per Head,2006M01,Heifers 300-349kg,Euro,492.47
Cattle Price per Head,2006M02,Heifers 300-349kg,Euro,450.55
Cattle Price per Head,2006M03,Heifers 300-349kg,Euro,520.65
Cattle Price per Head,2006M04,Heifers 300-349kg,Euro,540.08
Cattle Price per Head,2006M05,Heifers 300-349kg,Euro,540.1
Cattle Price per Head,2006M06,Heifers 300-349kg,Euro,536.12
Cattle Price per Head,2006M07,Heifers 300-349kg,Euro,608.21
Cattle Price per Head,2006M08,Heifers 300-349kg,Euro,515.75
Cattle Price per Head,2006M09,Heifers 300-349kg,Euro,495.14
Cattle Price per Head,2006M10,Heifers 300-349kg,Euro,484.57
Cattle Price per Head,2006M11,Heifers 300-349kg,Euro,484.47
Cattle Price per Head,2006M12,Heifers 300-349kg,Euro,465.44
Cattle Price per Head,2007M01,Heifers 300-349kg,Euro,520.38
Cattle Price per Head,2007M02,Heifers 300-349kg,Euro,539.81
Cattle Price per Head,2007M03,Heifers 300-349kg,Euro,539.83
Cattle Price per Head,2007M04,Heifers 300-349kg,Euro,535.86
Cattle Price per Head,2007M05,Heifers 300-349kg,Euro,536.39
Cattle Price per Head,2007M06,Heifers 300-349kg,Euro,515.49
Cattle Price per Head,2007M07,Heifers 300-349kg,Euro,494.88
Cattle Price per Head,2007M08,Heifers 300-349kg,Euro,484.31
Cattle Price per Head,2007M09,Heifers 300-349kg,Euro,484.2
Cattle Price per Head,2007M10,Heifers 300-349kg,Euro,465.17
Cattle Price per Head,2007M11,Heifers 300-349kg,Euro,481.16
Cattle Price per Head,2007M12,Heifers 300-349kg,Euro,482.85
Cattle Price per Head,2008M01,Heifers 300-349kg,Euro,563.01
Cattle Price per Head,2008M02,Heifers 300-349kg,Euro,606.92
Cattle Price per Head,2008M03,Heifers 300-349kg,Euro,602.46
Cattle Price per Head,2008M04,Heifers 300-349kg,Euro,570.65
Cattle Price per Head,2008M05,Heifers 300-349kg,Euro,587.47
Cattle Price per Head,2008M06,Heifers 300-349kg,Euro,593.26
Cattle Price per Head,2008M07,Heifers 300-349kg,Euro,547.28
Cattle Price per Head,2008M08,Heifers 300-349kg,Euro,559.77
Cattle Price per Head,2008M09,Heifers 300-349kg,Euro,526.64
Cattle Price per Head,2008M10,Heifers 300-349kg,Euro,528.66
Cattle Price per Head,2008M11,Heifers 300-349kg,Euro,503.36
Cattle Price per Head,2008M12,Heifers 300-349kg,Euro,523.56
Cattle Price per Head,2009M01,Heifers 300-349kg,Euro,541.26
Cattle Price per Head,2009M02,Heifers 300-349kg,Euro,542.39
Cattle Price per Head,2009M03,Heifers 300-349kg,Euro,536.85
Cattle Price per Head,2009M04,Heifers 300-349kg,Euro,529.72
Cattle Price per Head,2009M05,Heifers 300-349kg,Euro,492.93
Cattle Price per Head,2009M06,Heifers 300-349kg,Euro,490.06
Cattle Price per Head,2009M07,Heifers 300-349kg,Euro,463.21
Cattle Price per Head,2009M08,Heifers 300-349kg,Euro,456.61
Cattle Price per Head,2009M09,Heifers 300-349kg,Euro,432.77
Cattle Price per Head,2009M10,Heifers 300-349kg,Euro,452.24
Cattle Price per Head,2009M11,Heifers 300-349kg,Euro,449.24
Cattle Price per Head,2009M12,Heifers 300-349kg,Euro,453.35
Cattle Price per Head,2010M01,Heifers 300-349kg,Euro,509.39
Cattle Price per Head,2010M02,Heifers 300-349kg,Euro,516.51
