Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1976M01,Heifers 350-399kg,Euro,252.07
Cattle Price per Head,1976M02,Heifers 350-399kg,Euro,276.93
Cattle Price per Head,1976M03,Heifers 350-399kg,Euro,277.09
Cattle Price per Head,1976M04,Heifers 350-399kg,Euro,297.18
Cattle Price per Head,1976M05,Heifers 350-399kg,Euro,314.56
Cattle Price per Head,1976M06,Heifers 350-399kg,Euro,311.3
Cattle Price per Head,1976M07,Heifers 350-399kg,Euro,299.8
Cattle Price per Head,1976M08,Heifers 350-399kg,Euro,296.65
Cattle Price per Head,1976M09,Heifers 350-399kg,Euro,279.69
Cattle Price per Head,1976M10,Heifers 350-399kg,Euro,279.23
Cattle Price per Head,1976M11,Heifers 350-399kg,Euro,266.51
Cattle Price per Head,1976M12,Heifers 350-399kg,Euro,258.57
Cattle Price per Head,1977M01,Heifers 350-399kg,Euro,274.16
Cattle Price per Head,1977M02,Heifers 350-399kg,Euro,291.95
Cattle Price per Head,1977M03,Heifers 350-399kg,Euro,318.59
Cattle Price per Head,1977M04,Heifers 350-399kg,Euro,338.09
Cattle Price per Head,1977M05,Heifers 350-399kg,Euro,349.34
Cattle Price per Head,1977M06,Heifers 350-399kg,Euro,359.69
Cattle Price per Head,1977M07,Heifers 350-399kg,Euro,346.6
Cattle Price per Head,1977M08,Heifers 350-399kg,Euro,332.14
Cattle Price per Head,1977M09,Heifers 350-399kg,Euro,332.73
Cattle Price per Head,1977M10,Heifers 350-399kg,Euro,331.33
Cattle Price per Head,1977M11,Heifers 350-399kg,Euro,327.08
Cattle Price per Head,1977M12,Heifers 350-399kg,Euro,337.47
Cattle Price per Head,1978M01,Heifers 350-399kg,Euro,334.83
Cattle Price per Head,1978M02,Heifers 350-399kg,Euro,370.7
Cattle Price per Head,1978M03,Heifers 350-399kg,Euro,376.62
Cattle Price per Head,1978M04,Heifers 350-399kg,Euro,388.29
Cattle Price per Head,1978M05,Heifers 350-399kg,Euro,396.09
Cattle Price per Head,1978M06,Heifers 350-399kg,Euro,434.19
Cattle Price per Head,1978M07,Heifers 350-399kg,Euro,417.35
Cattle Price per Head,1978M08,Heifers 350-399kg,Euro,379.97
Cattle Price per Head,1978M09,Heifers 350-399kg,Euro,360.12
Cattle Price per Head,1978M10,Heifers 350-399kg,Euro,334.42
Cattle Price per Head,1978M11,Heifers 350-399kg,Euro,323.05
Cattle Price per Head,1978M12,Heifers 350-399kg,Euro,305.69
Cattle Price per Head,1979M01,Heifers 350-399kg,Euro,311.99
Cattle Price per Head,1979M02,Heifers 350-399kg,Euro,327.69
Cattle Price per Head,1979M03,Heifers 350-399kg,Euro,325.97
Cattle Price per Head,1979M04,Heifers 350-399kg,Euro,354.33
Cattle Price per Head,1979M05,Heifers 350-399kg,Euro,374.97
Cattle Price per Head,1979M06,Heifers 350-399kg,Euro,363.44
Cattle Price per Head,1979M07,Heifers 350-399kg,Euro,354.12
Cattle Price per Head,1979M08,Heifers 350-399kg,Euro,332.32
Cattle Price per Head,1979M09,Heifers 350-399kg,Euro,321
Cattle Price per Head,1979M10,Heifers 350-399kg,Euro,324.67
Cattle Price per Head,1979M11,Heifers 350-399kg,Euro,315.49
Cattle Price per Head,1979M12,Heifers 350-399kg,Euro,323.72
Cattle Price per Head,1980M01,Heifers 350-399kg,Euro,345.47
Cattle Price per Head,1980M02,Heifers 350-399kg,Euro,405.67
Cattle Price per Head,1980M03,Heifers 350-399kg,Euro,407.65
Cattle Price per Head,1980M04,Heifers 350-399kg,Euro,430.59
Cattle Price per Head,1980M05,Heifers 350-399kg,Euro,458.27
Cattle Price per Head,1980M06,Heifers 350-399kg,Euro,433.79
Cattle Price per Head,1980M07,Heifers 350-399kg,Euro,419.88
Cattle Price per Head,1980M08,Heifers 350-399kg,Euro,426.42
Cattle Price per Head,1980M09,Heifers 350-399kg,Euro,435.82
Cattle Price per Head,1980M10,Heifers 350-399kg,Euro,426.1
Cattle Price per Head,1980M11,Heifers 350-399kg,Euro,418.1
Cattle Price per Head,1980M12,Heifers 350-399kg,Euro,432.42
Cattle Price per Head,1981M01,Heifers 350-399kg,Euro,445.75
Cattle Price per Head,1981M02,Heifers 350-399kg,Euro,487.39
Cattle Price per Head,1981M03,Heifers 350-399kg,Euro,487.24
Cattle Price per Head,1981M04,Heifers 350-399kg,Euro,502.57
Cattle Price per Head,1981M05,Heifers 350-399kg,Euro,507.04
Cattle Price per Head,1981M06,Heifers 350-399kg,Euro,492.49
Cattle Price per Head,1981M07,Heifers 350-399kg,Euro,492.29
Cattle Price per Head,1981M08,Heifers 350-399kg,Euro,463.61
Cattle Price per Head,1981M09,Heifers 350-399kg,Euro,458.45
Cattle Price per Head,1981M10,Heifers 350-399kg,Euro,459.16
Cattle Price per Head,1981M11,Heifers 350-399kg,Euro,450.72
