Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1984M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1985M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1986M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1987M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1988M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1989M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1990M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M01,Skimmed and Semi-skimmed milk,Million Litres,
